 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_1740
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
2014-11-25 18:52:08.231268min lat: 0.067105 max lat: 2.34043 avg lat: 0.385879
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      4148      4132   82.6193        76  0.102751  0.385879
   101      15      4190      4175   82.6526        86   1.68297   0.38579
   102      16      4233      4217   82.6657        84  0.605024  0.385936
   103      16      4276      4260    82.698        86  0.098984  0.385568
   104      16      4322      4306   82.7874        92  0.103049  0.385322
   105      16      4362      4346   82.7607        80  0.445873   0.38466
   106      16      4406      4390     82.81        88  0.087232  0.385195
   107      16      4447      4431   82.8024        82  0.844155  0.385511
   108      16      4488      4472   82.7948        82   1.68939  0.385045
   109      16      4530      4514   82.8058        84  0.495227  0.385374
   110      16      4568      4552   82.7438        76  0.125781   0.38565
   111      16      4610      4594   82.7551        84  0.419464  0.385799
   112      16      4659      4643    82.891        98  0.126808  0.384894
   113      16      4703      4687   82.9361        88  0.098093  0.384925
   114      16      4746      4730   82.9629        86  0.611282  0.384617
   115      16      4787      4771   82.9545        82  0.290029  0.384894
   116      16      4826      4810   82.9117        78  0.802978  0.384847
   117      16      4873      4857   83.0063        94  0.093139  0.384673
   118      16      4915      4899   83.0146        84  0.575813  0.384453
   119      16      4958      4942   83.0396        86  0.667097  0.384345
2014-11-25 18:52:28.233857min lat: 0.067105 max lat: 2.34043 avg lat: 0.384674
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      4999      4983   83.0309        82  0.177094  0.384674
   121      16      5036      5020   82.9562        74   1.39758   0.38445
   122      16      5083      5067   83.0381        94  0.097489  0.384174
   123      16      5123      5107   83.0133        80  0.083488  0.384098
   124      16      5169      5153   83.0857        92  0.125418  0.383929
   125      16      5206      5190   83.0129        74  0.142354  0.384279
   126      16      5245      5229    82.973        78  0.366758  0.384339
   127      16      5287      5271    82.981        84  0.228424  0.384107
   128      16      5323      5307   82.8952        72  0.141604  0.384238
   129      16      5371      5355   82.9966        96  0.433275   0.38478
   130      16      5407      5391    82.912        72  0.294261  0.384654
   131      16      5451      5435   82.9507        88  0.649092  0.385045
   132      16      5490      5474   82.9132        78  0.740045  0.385057
   133      16      5534      5518   82.9513        88  0.119201  0.385248
   134      16      5577      5561    82.974        86  0.150017  0.384392
   135      16      5618      5602   82.9667        82  0.097599   0.38446
   136      16      5655      5639   82.9007        74  0.395496   0.38492
   137      16      5699      5683   82.9378        88  0.103306   0.38486
   138      16      5739      5723   82.9165        80   0.49652  0.384938
   139      16      5784      5768   82.9674        90  0.637322  0.384681
2014-11-25 18:52:48.248972min lat: 0.066263 max lat: 2.44194 avg lat: 0.384561
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      5832      5816   83.0603        96  0.228506  0.384561
   141      15      5865      5850   82.9535        68  0.366484  0.384427
   142      16      5914      5898   83.0453        96  0.439435  0.384617
   143      16      5954      5938   83.0239        80  0.160141  0.384487
   144      16      5991      5975   82.9612        74  0.566431  0.384736
   145      16      6032      6016   82.9545        82  0.481595  0.385121
   146      16      6076      6060    82.989        88  0.492307   0.38497
   147      16      6115      6099   82.9549        78   1.00495  0.384845
   148      16      6152      6136   82.8944        74   1.12858  0.384831
   149      16      6188      6172   82.8212        72  0.658678  0.385288
   150      16      6231      6215   82.8423        86   0.76723  0.385756
   151      16      6272      6256   82.8367        82  0.699675  0.385496
   152      16      6314      6298   82.8346        84  0.635072   0.38535
   153      16      6357      6341   82.8552        86  0.423307  0.385408
   154      16      6402      6386   82.9015        90  0.141333  0.385492
   155      16      6440      6424   82.8569        76  0.353761  0.385061
   156      16      6481      6465   82.8514        82   0.42364  0.385133
   157      16      6518      6502   82.7949        74  0.115886   0.38521
   158      16      6561      6545   82.8151        86  0.073633  0.385308
   159      16      6604      6588   82.8351        86  0.225901   0.38536
2014-11-25 18:53:08.269347min lat: 0.066263 max lat: 2.44194 avg lat: 0.385218
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      6643      6627   82.8048        78  0.094881  0.385218
   161      16      6683      6667   82.7873        80   1.51618  0.385493
   162      16      6720      6704    82.733        74  0.122988  0.386144
   163      16      6759      6743   82.7039        78  0.110872  0.385952
   164      16      6805      6789   82.7605        92  0.104689  0.385913
   165      15      6846      6831    82.768        84  0.140314  0.385947
   166      16      6887      6871   82.7512        80  0.092827  0.385616
   167      16      6927      6911   82.7347        80  0.136412  0.385786
   168      16      6965      6949   82.6946        76  0.724369  0.386244
   169      16      7009      6993   82.7259        88  0.236149  0.386304
   170      16      7052      7036   82.7451        86  0.304661  0.385544
   171      16      7087      7071   82.6705        70   1.12887  0.385889
   172      16      7129      7113   82.6782        84   0.09988  0.385878
   173      16      7173      7157   82.7089        88  0.107808   0.38597
   174      16      7217      7201   82.7392        88  0.114438  0.385986
   175      16      7254      7238   82.6892        74  0.745744  0.386076
   176      16      7300      7284    82.742        92  0.296491  0.386109
   177      16      7340      7324   82.7265        80   0.52307  0.386262
   178      16      7382      7366   82.7336        84  0.143314   0.38588
   179      16      7426      7410   82.7629        88  0.129218  0.385892
2014-11-25 18:53:28.271990min lat: 0.064394 max lat: 2.44194 avg lat: 0.385985
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      7468      7452   82.7698        84  0.983925  0.385985
   181      16      7507      7491   82.7433        78  0.136827  0.385811
   182      16      7549      7533   82.7502        84  0.070002  0.385776
   183      16      7590      7574    82.746        82  0.228347   0.38564
   184      16      7629      7613   82.7202        78  0.120904  0.386085
   185      16      7673      7657   82.7487        88   0.07614  0.385981
   186      16      7710      7694   82.7016        74   1.37038  0.385895
   187      16      7749      7733   82.6764        78  0.096649  0.386221
   188      16      7792      7776    82.694        86  0.137073  0.386278
   189      16      7828      7812   82.6374        72  0.682572  0.386357
   190      16      7875      7859   82.6971        94  0.659151  0.386306
   191      16      7919      7903   82.7248        88  0.105396  0.386259
   192      16      7961      7945   82.7314        84  0.337385   0.38608
   193      16      8002      7986   82.7276        82   1.01335   0.38614
   194      16      8040      8024   82.6928        76   0.14099  0.386478
   195      16      8084      8068     82.72        88   0.09625  0.386279
   196      16      8128      8112   82.7469        88  0.262895  0.386178
   197      16      8164      8148   82.6923        72   0.09119   0.38618
   198      16      8209      8193   82.7291        90  0.163995  0.386319
   199      16      8247      8231   82.6953        76  0.636993  0.386232
2014-11-25 18:53:48.274550min lat: 0.064394 max lat: 2.44194 avg lat: 0.386125
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16      8288      8272   82.6917        82  0.132903  0.386125
   201      16      8331      8315   82.7081        86   1.28801  0.386187
   202      16      8367      8351   82.6551        72  0.069943  0.386266
   203      16      8410      8394   82.6715        86  0.152559  0.386454
   204      16      8450      8434   82.6584        80  0.208267  0.386319
   205      16      8492      8476   82.6649        84   1.34031  0.386298
   206      16      8535      8519    82.681        86   1.11687  0.386397
   207      16      8579      8563   82.7066        88  0.120074   0.38638
   208      16      8623      8607    82.732        88    0.1052  0.386103
   209      16      8663      8647   82.7189        80  0.129903  0.386054
   210      16      8707      8691    82.744        88  0.131141  0.386055
   211      16      8746      8730   82.7215        78  0.875785  0.386226
   212      16      8785      8769   82.6992        78  0.092547  0.386033
   213      16      8824      8808   82.6771        78  0.711339   0.38622
   214      16      8865      8849   82.6738        82  0.180714  0.386632
   215      16      8904      8888   82.6521        78  0.112336  0.386513
   216      16      8945      8929    82.649        82  0.169967  0.386492
   217      16      8988      8972   82.6644        86  0.120915  0.386433
   218      16      9032      9016   82.6888        88  0.130196  0.386285
   219      16      9073      9057   82.6856        82   1.16804  0.386235
2014-11-25 18:54:08.277116min lat: 0.064394 max lat: 2.44194 avg lat: 0.386314
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16      9108      9092   82.6279        70  0.193786  0.386314
   221      16      9148      9132    82.616        80  0.144778   0.38646
   222      16      9191      9175   82.6312        86  0.871286  0.386597
   223      16      9231      9215   82.6193        80  0.385823  0.386493
   224      16      9271      9255   82.6076        80  0.716117  0.386869
   225      16      9307      9291   82.5604        72   0.08923  0.386928
   226      15      9346      9331    82.549        80  0.145556  0.386844
   227      16      9386      9370   82.5289        78  0.083599  0.387055
   228      16      9429      9413   82.5441        86  0.091842  0.386881
   229      16      9470      9454   82.5417        82  0.131091  0.386957
   230      16      9508      9492   82.5132        76  0.202587  0.387069
   231      16      9550      9534   82.5196        84  0.146491  0.387054
   232      16      9590      9574   82.5087        80  0.166184  0.387065
   233      15      9634      9619   82.5408        90  0.129575  0.387137
   234      16      9675      9659   82.5299        80  0.195161  0.386973
   235      16      9718      9702   82.5446        86  0.095537  0.386939
   236      16      9764      9748   82.5846        92  0.416475  0.387101
   237      16      9805      9789   82.5821        82   1.10278  0.386966
   238      16      9846      9830   82.5796        82  0.164445  0.386849
   239      16      9888      9872   82.5855        84  0.086152  0.386865
2014-11-25 18:54:28.279746min lat: 0.064394 max lat: 2.44194 avg lat: 0.386819
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16      9931      9915   82.5997        86  0.150809  0.386819
   241      16      9969      9953   82.5723        76   0.12701  0.386892
   242      15     10007      9992   82.5533        78  0.186044  0.386996
   243      15     10046     10031   82.5346        78  0.087659  0.386985
   244      16     10088     10072   82.5323        82  0.097878  0.387141
   245      16     10127     10111   82.5138        78  0.686037  0.387371
   246      16     10165     10149   82.4873        76  0.229778  0.387336
   247      16     10204     10188    82.469        78  0.211122  0.387583
   248      16     10243     10227    82.451        78  0.106246  0.387474
   249      16     10284     10268   82.4491        82  0.761408  0.387734
   250      16     10323     10307   82.4313        78  0.074185  0.387433
   251      16     10366     10350   82.4455        86   0.07468  0.387509
   252      16     10411     10395   82.4754        90  0.590852  0.387648
   253      15     10451     10436   82.4735        82  0.113835  0.387429
   254      16     10496     10480   82.4952        88  0.094936  0.387153
   255      16     10540     10524   82.5167        88  0.236832  0.387063
   256      16     10576     10560   82.4756        72   0.82618  0.386759
   257      16     10617     10601   82.4737        82  0.090671   0.38751
   258      16     10659     10643   82.4796        84  0.740158  0.387467
   259      16     10701     10685   82.4854        84  0.247995  0.387557
2014-11-25 18:54:48.282435min lat: 0.064394 max lat: 2.44194 avg lat: 0.387559
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     10742     10726   82.4835        82  0.105042  0.387559
   261      16     10781     10765   82.4663        78   1.01865  0.387432
   262      16     10820     10804   82.4492        78  0.339552  0.387558
   263      16     10852     10836    82.379        64    1.0461  0.387467
   264      16     10902     10886   82.4457       100  0.559722  0.387713
   265      16     10942     10926   82.4365        80  0.162326  0.387596
   266      16     10986     10970   82.4573        88  0.404906  0.387666
   267      16     11030     11014    82.478        88  0.130806  0.387471
   268      16     11072     11056   82.4837        84  0.087205  0.387434
   269      16     11112     11096   82.4744        80  0.556303  0.387611
   270      16     11155     11139   82.4875        86  0.120729  0.387425
   271      16     11196     11180   82.4856        82  0.208787  0.387479
   272      16     11238     11222   82.4911        84  0.706862  0.387513
   273      16     11278     11262    82.482        80  0.141511  0.387483
   274      16     11317     11301   82.4586        78  0.258581  0.387694
