   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5327      5311   82.9616   82.9844  0.0029260.00300262
     2      16     10961     10945   85.4892   88.0312  0.0047470.00291801
     3      15     16260     16245   84.5937   82.8125    0.00220.00295115
     4      16     21655     21639    84.513   84.2812  0.0028540.00295462
     5      15     27112     27097   84.6645   85.2812  0.0043350.00295019
     6      16     32736     32720   85.1951   87.8594  0.0037490.00293149
     7      15     38333     38318   85.5183   87.4688  0.0020120.00292067
     8      16     44123     44107   86.1337   90.4531  0.001873 0.0028999
     9      16     49888     49872   86.5707   90.0781  0.0030780.00288517
    10      16     55538     55522   86.7406   88.2812  0.0016540.00287979
    11      16     61100     61084   86.7547   86.9062  0.0012540.00287849
    12      15     66433     66418   86.4696   83.3438  0.001995 0.0028887
    13      16     72192     72176   86.7373   89.9688  0.0044290.00288005
    14      15     77679     77664   86.6661     85.75   0.001990.00288247
    15      16     83264     83248   86.7043     87.25  0.0020390.00288119
    16      16     88490     88474   86.3882   81.6562  0.0024320.00289185
    17      15     94100     94085    86.463   87.6719  0.0046820.00288924
    18      15     99984     99969   86.7665   91.9375  0.0027260.00287916
    19      15    105599    105584   86.8169   87.7344  0.0030920.00287759
2014-11-25 19:50:55.905944min lat: 0.001145 max lat: 0.05723 avg lat: 0.0028728
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15    111340    111325   86.9607   89.7031  0.002674 0.0028728
 Total time run:        20.432098
Total reads made:     113670
Read size:            16384
Bandwidth (MB/sec):    86.927 

Average Latency:       0.00287417
Max latency:           0.05723
Min latency:           0.001145
