   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        46        30  0.468603   0.46875  0.160462  0.142324
     2      16       411       395   3.08528   5.70312  0.001329  0.077619
     3      16       848       832    4.3326   6.82812  0.001353 0.0551472
     4      16      1538      1522   5.94441   10.7812  0.002092 0.0410336
     5      16      2271      2255   7.04584   11.4531  0.001249 0.0348834
     6      16      2909      2893   7.53278   9.96875  0.001829 0.0325458
     7      16      3811      3795    8.4698   14.0938  0.002323 0.0291784
     8      16      6322      6306   12.3146   39.2344   0.00423 0.0202924
     9      16      9329      9313   16.1661   46.9844  0.001408 0.0154587
    10      15     12025     12010    18.763   42.1406  0.001281 0.0133091
    11      16     14318     14302   20.3126   35.8125  0.001971  0.012295
    12      16     16672     16656   21.6846   36.7812  0.001065 0.0115159
    13      16     19619     19603   23.5581   46.0469  0.001551 0.0106009
    14      16     23272     23256   25.9519   57.0781  0.0020530.00962215
    15      16     26947     26931   28.0494   57.4219   0.001370.00890658
    16      15     31854     31839   31.0887   76.6875  0.0022090.00803875
    17      15     36990     36975   33.9797     80.25  0.0021830.00735482
    18      16     42831     42815   37.1607     91.25  0.0035310.00672514
    19      16     48496     48480    39.863   88.5156  0.0023130.00626922
2014-11-25 19:57:21.565541min lat: 0.001065 max lat: 1.44089 avg lat: 0.0059004
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     54236     54220   42.3536   89.6875  0.002218 0.0059004
    21      15     59940     59925   44.5809   89.1406  0.0016430.00560557
    22      16     65763     65747   46.6889   90.9688  0.0032880.00535199
    23      15     71069     71054   48.2638   82.9219  0.0036160.00517772
    24      16     76801     76785   49.9835   89.5469  0.0013920.00499944
    25      16     82722     82706   51.6843   92.5156  0.0020540.00483485
    26      15     88393     88378   53.1046    88.625  0.003216 0.0047056
    27      15     94292     94277   54.5511   92.1719  0.0040180.00458066
    28      15    100015    100000   55.7961   89.4219  0.0017710.00447858
    29      15    105685    105670   56.9267   88.5938  0.0039370.00438961
    30      16    111310    111294   57.9579    87.875  0.0025730.00431141
    31      16    117264    117248   59.0889   93.0312   0.002060.00422898
    32      15    122799    122784   59.9452      86.5  0.002002 0.0041685
 Total time run:        32.063728
Total reads made:     123141
Read size:            16384
Bandwidth (MB/sec):    60.008 

Average Latency:       0.00416431
Max latency:           1.44089
Min latency:           0.001065
