   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       122       106   0.82791  0.828125  0.403434  0.132552
     2      16      1132      1116   4.35858   7.89062  0.005586 0.0286466
     3      16      4721      4705   12.2506   28.0391  0.001386 0.0101128
     4      16      7945      7929    15.484   25.1875  0.0033310.00806721
     5      16     11179     11163   17.4397   25.2656  0.0166740.00714374
     6      16     11978     11962   15.5734   6.24219   0.001420.00797764
     7      16     13086     13070   14.5851   8.65625  0.0015880.00823944
     8      15     15033     15018   14.6641   15.2188  0.0015830.00852035
     9      16     17286     17270   14.9894   17.5938  0.0033850.00833547
    10      16     21127     21111   16.4908   30.0078  0.0018970.00757698
    11      16     25310     25294   17.9622   32.6797  0.001994 0.0069565
    12      16     30749     30733   20.0059   42.4922  0.0022220.00624543
    13      15     36110     36095    21.689   41.8906  0.0017730.00576109
    14      15     41684     41669   23.2499   43.5469  0.0036790.00537401
    15      16     47269     47253   24.6078    43.625  0.0021210.00507755
    16      16     52722     52706   25.7321   42.6016  0.0021370.00485573
    17      15     58032     58017   26.6589   41.4922  0.0028180.00468684
    18      16     63517     63501   27.5578   42.8438   0.001950.00453384
    19      16     68967     68951   28.3481   42.5781  0.001546 0.0044074
2014-11-23 08:07:55.735656min lat: 0.001009 max lat: 0.626769 avg lat: 0.00429616
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     74476     74460   29.0823   43.0391    0.00360.00429616
    21      16     80105     80089   29.7913   43.9766  0.0031210.00419401
    22      16     85497     85481   30.3517    42.125   0.001840.00411655
    23      15     90909     90894   30.8705   42.2891   0.00334 0.0040473
    24      15     96418     96403   31.3773   43.0391  0.0045720.00398187
    25      15    102081    102066   31.8917   44.2422  0.0036590.00391767
    26      16    107261    107245   32.2211   40.4609  0.0023880.00387767
    27      16    112405    112389    32.516   40.1875  0.0012350.00384204
    28      16    117234    117218   32.7019   37.7266  0.0017640.00382067
    29      15    122768    122753   33.0652   43.2422  0.0020440.00377867
    30      16    128292    128276    33.401   43.1484  0.0030430.00374063
    31      16    133840    133824   33.7216   43.3438  0.002087 0.0037051
    32      16    139182    139166   33.9718   41.7344  0.0026540.00367777
    33      16    144708    144692   34.2504   43.1719  0.0046430.00364775
    34      16    150301    150285   34.5281   43.6953  0.0038180.00361844
    35      16    155730    155714   34.7532   42.4141  0.0013740.00359503
    36      15    161290    161275   34.9945   43.4453  0.0037060.00357026
    37      16    166666    166650   35.1835   41.9922  0.003194 0.0035511
    38      16    172142    172126   35.3833   42.7812  0.0020480.00353105
 Total time run:        38.354263
Total reads made:     174089
Read size:            8192
Bandwidth (MB/sec):    35.461 

Average Latency:       0.00352345
Max latency:           0.626769
Min latency:           0.001009
