 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_19045
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        56        40   79.9775        80  0.435661   0.28731
     2      16       101        85   84.9804        90  0.087598  0.292217
     3      16       144       128   85.3156        86  0.118536  0.298625
     4      16       182       166   82.9843        76  0.122896  0.328398
     5      16       225       209   83.5852        86  0.113862   0.34305
     6      16       268       252   83.9858        86   1.13258  0.361449
     7      16       306       290   82.8437        76  0.091653  0.356133
     8      16       313       297   74.2382        14  0.090071   0.35451
     9      16       314       298    66.212         2    2.7705  0.362617
    10      16       365       349   69.7896       102  0.093525   0.44973
    11      16       406       390   70.8986        82  0.332127  0.438762
    12      16       447       431   71.8229        82  0.209052  0.430955
    13      16       489       473   72.7588        84  0.090583  0.428513
    14      16       533       517   73.8466        88  0.869339  0.421669
    15      16       559       543   72.3898        52  0.779874  0.425486
    16      16       563       547   68.3654         8  0.139915  0.423348
    17      16       618       602   70.8138       110  0.550447  0.444284
    18      16       659       643   71.4347        82  0.100475  0.438807
    19      16       699       683   71.8849        80  0.736622   0.43759
2014-11-25 10:38:52.592202min lat: 0.068889 max lat: 3.1505 avg lat: 0.430424
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       735       719   71.8901        72  0.087143  0.430424
    21      16       739       723   68.8477         8  0.069306  0.428533
    22      16       739       723   65.7183         0         -  0.428533
    23      16       739       723   62.8611         0         -  0.428533
    24      16       739       723    60.242         0         -  0.428533
    25      16       778       762   60.9519      19.5  0.081498  0.519825
    26      16       821       805   61.9149        86  0.592888  0.514231
    27      16       865       849   62.8807        88  0.131524  0.502451
    28      16       905       889   63.4917        80  0.121431  0.496963
    29      16       947       931   64.1986        84   1.04732  0.491561
    30      16       965       949   63.2585        36   1.74934  0.491378
    31      16      1016      1000   64.5078       102  0.625758  0.491095
    32      16      1056      1040   64.9916        80  0.103114  0.487846
    33      16      1099      1083   65.6278        86  0.083026  0.481793
    34      16      1145      1129   66.4032        92  0.427103  0.478696
    35      16      1184      1168   66.7342        78   0.11716  0.473989
    36      16      1226      1210   67.2135        84  0.107165  0.471647
    37      16      1255      1239   66.9643        58  0.933532   0.47094
    38      16      1270      1254   65.9914        30  0.064606  0.469723
    39      16      1281      1265   64.8634        22  0.085949   0.48362
2014-11-25 10:39:12.594642min lat: 0.064606 max lat: 5.718 avg lat: 0.486107
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1300      1284   64.1917        38  0.092982  0.486107
    41      16      1311      1295   63.1625        22    1.5208  0.489669
    42      16      1314      1298   61.8015         6  0.787311  0.491308
    43      16      1337      1321   61.4339        46  0.090549  0.501786
    44      16      1354      1338   60.8103        34  0.069717  0.500361
    45      16      1361      1345     59.77        14   2.27255  0.509243
    46      16      1390      1374   59.7314        58  0.135821  0.524008
    47      16      1437      1421   60.4602        94  0.606409  0.525918
    48      16      1480      1464   60.9921        86  0.146243  0.519049
    49      16      1522      1506   61.4614        84  0.639988   0.51801
    50      16      1565      1549   61.9519        86  0.095079   0.51248
    51      16      1604      1588   62.2664        78  0.097895  0.510333
    52      16      1648      1632   62.7611        88  0.107069  0.506936
    53      16      1690      1674   63.1616        84  0.151968  0.504461
    54      16      1735      1719   63.6585        90  0.067158  0.497842
    55      16      1778      1762   64.0645        86  0.065604  0.494656
    56      16      1817      1801   64.3131        78  0.102303  0.493429
    57      16      1860      1844   64.6934        86  0.095132  0.491037
    58      16      1868      1852   63.8539        16   0.14183   0.49018
    59      16      1868      1852   62.7716         0         -   0.49018
2014-11-25 10:39:32.597147min lat: 0.064606 max lat: 7.96987 avg lat: 0.50929
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      1895      1879   62.6253        27  0.383419   0.50929
    61      16      1920      1904   62.4182        50  0.066283  0.506185
    62      16      1920      1904   61.4114         0         -  0.506185
    63      16      1920      1904   60.4367         0         -  0.506185
    64      16      1920      1904   59.4924         0         -  0.506185
    65      16      1920      1904   58.5772         0         -  0.506185
    66      16      1920      1904   57.6897         0         -  0.506185
    67      16      1920      1904   56.8286         0         -  0.506185
    68      16      1923      1907   56.0812  0.857143  0.089042   0.51374
    69      16      1923      1907   55.2684         0         -   0.51374
    70      16      1923      1907   54.4789         0         -   0.51374
    71      16      1923      1907   53.7116         0         -   0.51374
    72      16      1923      1907   52.9656         0         -   0.51374
    73      16      1923      1907   52.2401         0         -   0.51374
    74      16      1927      1911   51.6423   1.33333  0.097692  0.526174
    75      16      1929      1913    51.007         4    14.579  0.540455
    76      16      1929      1913   50.3359         0         -  0.540455
    77      16      1929      1913   49.6822         0         -  0.540455
    78      16      1934      1918   49.1735   3.33333  0.077552  0.553633
    79      16      1960      1944   49.2092        52  0.189204   0.64912
2014-11-25 10:39:52.599266min lat: 0.064606 max lat: 18.7554 avg lat: 0.641011
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      2004      1988   49.6939        88   0.07117  0.641011
    81      16      2043      2027   50.0432        78  0.083959  0.633619
    82      16      2077      2061   50.2621        68  0.689111  0.633757
    83      16      2122      2106   50.7408        90  0.184369  0.628742
    84      16      2167      2151    51.208        90  0.333029  0.622112
    85      16      2206      2190   51.5231        78  0.109665  0.618318
    86      16      2247      2231   51.8774        82  0.082779  0.612868
    87      16      2284      2268   52.1316        74   0.08514  0.609113
    88      16      2304      2288   51.9937        40  0.104354  0.609116
    89      16      2321      2305   51.7915        34   1.36426  0.610472
    90      16      2340      2324   51.6382        38   3.30083  0.615024
    91      16      2351      2335   51.3125        22  0.070416  0.613045
    92      16      2394      2378   51.6894        86  0.339492  0.617292
    93      16      2438      2422   52.0798        88  0.142223  0.611367
    94      16      2477      2461   52.3554        78   1.34564  0.607993
    95      16      2517      2501   52.6463        80  0.238865  0.605231
    96      16      2556      2540   52.9103        78  0.097359  0.602949
    97      16      2599      2583   53.2513        86  0.105459  0.598462
    98      16      2640      2624   53.5445        82  0.130966  0.594717
    99      16      2681      2665   53.8318        82  0.090169  0.591673
2014-11-25 10:40:12.601617min lat: 0.063874 max lat: 18.7554 avg lat: 0.588751
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      2723      2707   54.1334        84  0.111889  0.588751
   101      16      2764      2748   54.4092        82  0.254217  0.586139
   102      16      2801      2785   54.6012        74   1.12705  0.583387
   103      16      2843      2827   54.8865        84  0.252895  0.581076
   104      16      2850      2834   54.4934        14  0.116806  0.580357
   105      16      2853      2837   54.0315         6   0.07681  0.581159
   106      16      2853      2837   53.5218         0         -  0.581159
   107      16      2853      2837   53.0216         0         -  0.581159
   108      16      2853      2837   52.5307         0         -  0.581159
   109      16      2853      2837   52.0488         0         -  0.581159
   110      16      2853      2837   51.5756         0         -  0.581159
   111      16      2853      2837    51.111         0         -  0.581159
   112      16      2853      2837   50.6546         0         -  0.581159
   113      16      2853      2837   50.2064         0         -  0.581159
   114      16      2853      2837    49.766         0         -  0.581159
   115      16      2853      2837   49.3332         0         -  0.581159
   116      16      2853      2837    48.908         0         -  0.581159
   117      16      2856      2840   48.5412       0.5  0.076512  0.590246
   118      16      2860      2844   48.1977         8  0.073576  0.600228
   119      16      2860      2844   47.7926         0         -  0.600228
2014-11-25 10:40:32.603706min lat: 0.063874 max lat: 18.7554 avg lat: 0.600228
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      2860      2844   47.3944         0         -  0.600228
   121      16      2860      2844   47.0027         0         -  0.600228
   122      16      2860      2844   46.6174         0         -  0.600228
   123      16      2860      2844   46.2384         0         -  0.600228
   124      16      2865      2849   45.9462   1.66667   21.1221  0.636341
   125      16      2918      2902   46.4265       106  0.119335  0.686878
   126      16      2957      2941    46.677        78    0.1331  0.681608
   127      16      3002      2986    47.018        90  0.119859  0.675171
   128      16      3042      3026   47.2756        80   1.83537  0.673586
   129      16      3082      3066   47.5292        80   1.62337  0.670356
   130      16      3115      3099   47.6713        66   1.10942  0.668992
   131      16      3165      3149   48.0706       100  0.069635  0.663263
   132      16      3199      3183   48.2215        68   0.07351  0.660463
   133      16      3246      3230   48.5656        94  0.154645  0.656919
   134      16      3281      3265   48.7255        70  0.100624  0.653497
   135      16      3283      3267   48.3942         4   0.48575   0.65327
   136      16      3303      3287   48.3324        40  0.066749  0.656224
   137      16      3343      3327   48.5635        80  0.099208  0.657679
   138      16      3377      3361   48.7043        68  0.936065  0.654851
   139      16      3415      3399   48.9006        76  0.482987   0.65251
2014-11-25 10:40:52.606255min lat: 0.063874 max lat: 21.5385 avg lat: 0.647443
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      3464      3448   49.2512        98  0.086576  0.647443
   141      16      3500      3484   49.4125        72  0.089715  0.645748
   142      16      3545      3529   49.6983        90      0.09  0.642402
   143      15      3589      3574     49.98        90  0.092369   0.63911
   144      16      3630      3614   50.1884        80  0.137674  0.636269
   145      16      3674      3658   50.4491        88  0.816109  0.632956
   146      16      3718      3702   50.7062        88   0.09666   0.62963
   147      16      3761      3745   50.9463        86  0.295114  0.626493
   148      16      3778      3762   50.8317        34  0.094312  0.625099
   149      16      3778      3762   50.4906         0         -  0.625099
   150      16      3787      3771   50.2739         9  0.065847  0.625375
   151      16      3787      3771    49.941         0         -  0.625375
   152      16      3787      3771   49.6125         0         -  0.625375
   153      16      3787      3771   49.2882         0         -  0.625375
   154      16      3787      3771   48.9681         0         -  0.625375
   155      16      3787      3771   48.6522         0         -  0.625375
   156      16      3787      3771   48.3404         0         -  0.625375
   157      16      3787      3771   48.0325         0         -  0.625375
   158      16      3787      3771   47.7285         0         -  0.625375
   159      16      3787      3771   47.4283         0         -  0.625375
2014-11-25 10:41:12.608488min lat: 0.063874 max lat: 21.5385 avg lat: 0.625375
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      3787      3771   47.1319         0         -  0.625375
   161      16      3787      3771   46.8392         0         -  0.625375
   162      16      3794      3778   46.6364   1.16667  0.070113  0.631864
   163      16      3795      3779   46.3626         2   14.8642   0.63563
   164      16      3795      3779   46.0799         0         -   0.63563
   165      16      3795      3779   45.8006         0         -   0.63563
   166      16      3795      3779   45.5247         0         -   0.63563
   167      16      3795      3779   45.2521         0         -   0.63563
   168      16      3795      3779   44.9828         0         -   0.63563
   169      16      3800      3784   44.7758   1.66667    22.022  0.663889
   170      16      3849      3833   45.0888        98  0.151425   0.70809
   171      16      3888      3872   45.2812        78  0.670242   0.70552
   172      16      3935      3919   45.5644        94  0.082384  0.700655
   173      15      3971      3956   45.7287        74  0.097403  0.697729
   174      16      4011      3995   45.9141        78   1.27064  0.694889
   175      16      4052      4036   46.1203        82  0.080248  0.691429
   176      16      4087      4071   46.2559        70   1.49999  0.689639
   177      16      4133      4117   46.5143        92  0.127313  0.685941
   178      16      4172      4156   46.6911        78  0.099328  0.682444
   179      16      4211      4195    46.866        78  0.110021  0.680476
2014-11-25 10:41:32.610620min lat: 0.063874 max lat: 22.3732 avg lat: 0.680458
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
