   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       407       391   6.10771   6.10938  0.0014070.00260754
     2      16       407       391   3.05404         0         -0.00260754
     3      16       407       391   2.03608         0         -0.00260754
     4      16      3030      3014   11.7715   13.6615  0.006852 0.0212181
     5      16      8853      8837   27.6112   90.9844  0.0016870.00903734
     6      15     14727     14712   38.3067   91.7969  0.0027370.00652138
     7      16     20540     20524   45.8057   90.8125  0.0022550.00545376
     8      16     26278     26262   51.2855   89.6562  0.0011560.00487039
     9      16     27697     27681   48.0504   22.1719  0.0012670.00475618
    10      16     27697     27681   43.2454         0         -0.00475618
    11      16     27697     27681   39.3141         0         -0.00475618
    12      16     27697     27681    36.038         0         -0.00475618
    13      16     27697     27681    33.266         0         -0.00475618
    14      16     31098     31082   34.6852   10.6281  0.0017640.00720408
    15      15     36634     36619   38.1399   86.5156  0.0020950.00655179
    16      15     42099     42084   41.0924   85.3906   0.004060.00608081
    17      15     47455     47440   43.5973   83.6875  0.0029670.00573157
    18      16     53139     53123   46.1078   88.7969  0.001807 0.0054194
    19      15     58658     58643     48.22     86.25  0.0040830.00518214
2014-11-25 06:50:51.607892min lat: 0.001116 max lat: 5.05244 avg lat: 0.00495408
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     64588     64572   50.4404   92.6406   0.002720.00495408
    21      15     70303     70288   52.2908   89.3125  0.0035270.00477868
    22      16     76020     76004   53.9732   89.3125   0.002710.00462973
 Total time run:        22.677061
Total reads made:     79633
Read size:            16384
Bandwidth (MB/sec):    54.869 

Average Latency:       0.00455434
Max latency:           5.05244
Min latency:           0.001116
