   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5659      5643   88.1494   88.1719  0.0033360.00282785
     2      16     11360     11344   88.6056   89.0781  0.0022530.00281689
     3      16     16764     16748   87.2129   84.4375  0.0020540.00286197
     4      16     22151     22135   86.4503   84.1719    0.00250.00288872
     5      16     27615     27599   86.2332    85.375  0.0022070.00289476
     6      15     31951     31936    83.154   67.7656  0.0018250.00300316
     7      15     37403     37388   83.4429   85.1875  0.0020570.00299367
     8      15     43074     43059   84.0874   88.6094  0.0027830.00297077
     9      15     48532     48517   84.2189   85.2812    0.0021 0.0029663
    10      15     54137     54122   84.5526   87.5781  0.0018980.00295457
    11      16     59794     59778   84.8991    88.375  0.0020990.00294251
    12      15     65416     65401   85.1448   87.8594  0.0022040.00293421
    13      15     71276     71261   85.6376   91.5625  0.0020080.00291739
    14      15     76764     76749   85.6449     85.75  0.0038590.00291706
    15      15     82287     82272   85.6877   86.2969  0.0022450.00291561
    16      16     88107     88091   86.0141   90.9219  0.0024120.00290463
    17      16     93691     93675   86.0862     87.25  0.0015770.00290221
    18      16     99277     99261    86.152   87.2812  0.0018890.00289994
    19      15    105025    105010   86.3449   89.8281  0.0042230.00289333
2014-11-26 01:48:15.968977min lat: 0.001167 max lat: 0.335952 avg lat: 0.00289374
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    110546    110530   86.3395     86.25  0.0027530.00289374
    21      15    116163    116148   86.4076   87.7812  0.002037 0.0028915
    22      16    121802    121786   86.4837   88.0938   0.002640.00288893
    23      15    127771    127756   86.7788   93.2812  0.003004 0.0028791
    24      16    133366    133350   86.8045   87.4062   0.001670.00287817
    25      15    139065    139050   86.8943   89.0625  0.0030460.00287525
    26      16    144761    144745    86.974   88.9844  0.0023940.00287265
 Total time run:        26.563610
Total reads made:     148180
Read size:            16384
Bandwidth (MB/sec):    87.161 

Average Latency:       0.00286661
Max latency:           0.335952
Min latency:           0.001167
