   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2523      2507   39.1612   39.1719  0.0012940.00420147
     2      16      5708      5692   44.4596   49.7656  0.0045290.00561519
     3      16     10218     10202    53.126   70.4688  0.0028550.00470094
     4      16     12854     12838   50.1402   41.1875  0.0050410.00498103
     5      16     17275     17259    53.926   69.0781   0.003810.00463229
     6      16     21972     21956   57.1685   73.3906  0.0015310.00436906
     7      16     26561     26545   59.2437   71.7031  0.0029480.00421678
     8      15     30829     30814   60.1751   66.7031  0.0025950.00415177
     9      16     35408     35392   61.4358   71.5312  0.0038960.00406642
    10      16     39876     39860   62.2726   69.8125  0.0045870.00401203
    11      16     44334     44318   62.9431   69.6562  0.0016960.00396921
    12      16     48774     48758   63.4784    69.375  0.0025730.00393614
 Total time run:        12.737574
Total reads made:     52162
Read size:            16384
Bandwidth (MB/sec):    63.986 

Average Latency:       0.00390529
Max latency:           0.470876
Min latency:           0.001113
