   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        86        70   69.9732        70  0.014102   0.11583
     2      16       121       105   52.4859        35  0.020904   0.22794
     3      16       160       144   47.9894        39   1.49547  0.254145
     4      16       199       183   45.7414        39   2.42925  0.307783
     5      16       235       219   43.7925        36  0.013882  0.324309
     6      16       276       260   43.3262        41  0.013777  0.331285
     7      16       309       293   41.8505        33  0.013815  0.351661
     8      16       346       330   41.2436        37  0.018051  0.352784
     9      16       386       370   41.1048        40  0.014372  0.350563
    10      16       434       418   41.7937        48  0.014227  0.340561
    11      16       463       447   40.6304        29  0.014473  0.353887
    12      16       504       488   40.6607        41  0.013822  0.361406
    13      16       552       536   41.2248        48   0.02056  0.357462
    14      16       585       569   40.6371        33  0.015725  0.365385
    15      16       617       601    40.061        32  0.023997  0.366602
    16      16       651       635   39.6819        34  0.014145  0.372733
    17      16       695       679   39.9356        44  0.500781  0.380871
    18      16       746       730   40.5499        51  0.014173  0.376025
    19      16       775       759   39.9418        29  0.014713  0.380138
2014-11-25 01:46:26.975679min lat: 0.013666 max lat: 3.71368 avg lat: 0.384425
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       812       796   39.7945        37  0.628271  0.384425
    21      16       836       820   39.0422        24  0.044389  0.393823
    22      16       888       872   39.6308        52   2.14882  0.389478
    23      16       929       913   39.6901        41  0.014938  0.388269
    24      16       984       968   40.3277        55  0.013901  0.378461
    25      16      1015       999   39.9545        31  0.013805  0.385561
    26      16      1053      1037   39.8791        38  0.013842  0.389128
    27      16      1091      1075   39.8094        38  0.020514   0.39354
    28      16      1142      1126   40.2088        51  0.014483  0.390691
    29      16      1192      1176   40.5462        50  0.013978  0.384402
    30      16      1249      1233   41.0944        57  0.014025  0.381614
    31      16      1288      1272   41.0267        39   1.37843  0.381438
    32      16      1340      1324   41.3694        52  0.013819  0.378847
    33      16      1370      1354   41.0249        30  0.013958  0.380719
    34      16      1409      1393   40.9652        39   1.26152  0.383781
    35      16      1462      1446   41.3088        53   1.37044  0.382527
    36      16      1499      1483    41.189        37   1.96872  0.380907
    37      16      1538      1522   41.1297        39  0.014232   0.37917
    38      16      1599      1583   41.6524        61  0.015035  0.376319
    39      16      1653      1637   41.9688        54  0.480868  0.374058
2014-11-25 01:46:46.978151min lat: 0.013666 max lat: 3.71368 avg lat: 0.373378
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1713      1697   42.4194        60  0.340212  0.373378
    41      16      1779      1763   42.9944        66  0.013832  0.368107
    42      16      1815      1799   42.8278        36  0.024011  0.368753
    43      16      1876      1860   43.2503        61  0.689384  0.365433
    44      16      1976      1960   44.5397       100  0.123648  0.357911
    45      16      2051      2035   45.2164        75  0.023001    0.3504
    46      16      2079      2063   44.8421        28   1.37986  0.351911
    47      16      2118      2102   44.7177        39  0.016991  0.352281
    48      16      2147      2131   44.3902        29  0.014468  0.355399
    49      16      2188      2172    44.321        41  0.036532  0.356197
    50      16      2227      2211   44.2145        39  0.015974  0.355332
    51      16      2252      2236   43.8377        25  0.735463  0.358024
    52      16      2282      2266   43.5713        30    2.5695  0.359332
    53      16      2333      2317   43.7113        51  0.014317  0.359385
    54      16      2366      2350   43.5129        33  0.019281  0.361966
    55      16      2406      2390   43.4489        40  0.015266  0.362493
    56      16      2441      2425    43.298        35  0.014892  0.364512
    57      16      2489      2473   43.3804        48  0.421332  0.364669
    58      16      2525      2509   43.2531        36   1.61995  0.366041
    59      16      2573      2557   43.3334        48   0.01421  0.363626
2014-11-25 01:47:06.980607min lat: 0.013666 max lat: 3.71368 avg lat: 0.359797
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
