   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      3337      3321   103.753   103.781  0.0079520.00480192
     2      16      6613      6597   103.055   102.375  0.0033260.00484142
     3      16     10108     10092   105.105   109.219  0.0034670.00474949
     4      16     12702     12686   99.0919   81.0625  0.0015440.00470862
     5      15     15763     15748   98.4087   95.6875  0.0055150.00507627
     6      16     19259     19243   100.208   109.219  0.0022450.00498427
     7      15     22704     22689   101.275   107.688   0.002540.00493309
     8      15     26225     26210   102.367   110.031  0.0038390.00488088
     9      15     29734     29719   103.175   109.656  0.0035780.00484265
    10      16     33236     33220   103.797   109.406  0.0020910.00481403
    11      16     36647     36631    104.05   106.594  0.0102430.00480244
    12      16     40120     40104   104.422   108.531  0.0030290.00478548
    13      16     43574     43558   104.692   107.938  0.0044370.00477309
    14      16     47044     47028   104.958   108.438  0.0037510.00476109
    15      16     50554     50538   105.273   109.688  0.0057160.00474692
    16      15     54059     54044    105.54   109.562  0.0017830.00473466
    17      16     57555     57539   105.755   109.219  0.0056620.00472549
    18      16     61076     61060   105.992   110.031  0.0045410.00471501
    19      16     64543     64527   106.115   108.344  0.0022020.00470947
2014-11-25 20:10:48.702163min lat: 0.001378 max lat: 0.413007 avg lat: 0.00470023
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15     68074     68059   106.328   110.375  0.0061390.00470023
 Total time run:        20.832905
Total reads made:     70823
Read size:            32768
Bandwidth (MB/sec):    106.237 

Average Latency:       0.00470453
Max latency:           0.413007
Min latency:           0.001378
