 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_39411e8678a7_8747
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        67        51    101.97       102   0.56984  0.247298
     2      16       123       107   106.976       112   0.11763  0.267182
     3      16       180       164   109.312       114  0.179139  0.277749
     4      16       234       218    108.98       108  0.289832  0.276263
     5      16       290       274    109.58       112  0.224623  0.282819
     6      16       347       331   110.314       114   0.08138  0.282497
     7      16       402       386   110.267       110  0.267618  0.281874
     8      16       457       441   110.232       110   0.14131   0.28354
     9      16       512       496   110.204       110  0.179689  0.285315
    10      16       567       551   110.182       110  0.527207  0.285115
    11      16       623       607   110.346       112  0.306183  0.285917
    12      16       679       663   110.482       112  0.296276  0.284521
    13      16       735       719   110.598       112  0.233676  0.286114
    14      16       784       768   109.697        98  0.156156  0.285415
    15      16       846       830    110.65       124  0.191496  0.287303
    16      16       900       884   110.483       108  0.363666  0.286222
    17      16       957       941   110.689       114  0.212292   0.28673
    18      16      1012       996    110.65       110  0.164858  0.286265
    19      16      1068      1052   110.721       112  0.272257  0.286916
2014-11-26 00:25:20.351213min lat: 0.071149 max lat: 1.39687 avg lat: 0.286469
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1123      1107   110.684       110  0.396797  0.286469
    21      16      1170      1154   109.889        94  0.133709  0.285103
    22      16      1235      1219   110.802       130  0.136671  0.286646
    23      16      1285      1269   110.332       100  0.260889   0.28679
    24      16      1346      1330   110.817       122  0.472618  0.286736
    25      16      1401      1385   110.784       110  0.223345  0.286956
    26      16      1458      1442   110.907       114  0.415025  0.286961
    27      16      1507      1491   110.429        98  0.160462  0.287089
    28      16      1564      1548   110.556       114  0.224405  0.288083
    29      16      1612      1596   110.053        96  0.145091  0.287342
    30      16      1673      1657   110.451       122  0.294588  0.288491
    31      16      1730      1714   110.353       114  0.455721  0.288217
    32      16      1786      1770   110.405       112  0.189142  0.288179
    33      16      1842      1826   110.452       112  0.310883  0.288722
    34      16      1895      1879   110.321       106  0.347333  0.288385
    35      16      1954      1938    110.54       118  0.268742  0.288112
    36      16      2007      1991   110.413       106   0.21276  0.288326
    37      16      2062      2046   110.402       110  0.169172  0.288049
    38      16      2114      2098   110.233       104  0.068037  0.287113
    39      16      2173      2157   110.432       118  0.233717  0.288194
2014-11-26 00:25:40.413254min lat: 0.041556 max lat: 1.8191 avg lat: 0.287989
