   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      3503      3487   108.911   108.969  0.0057990.00456273
     2      15      6978      6963    108.76   108.625  0.0041870.00458212
     3      16     10513     10497   109.314   110.438  0.0040280.00456368
     4      16     14041     14025   109.545    110.25  0.0019250.00455568
     5      16     17574     17558   109.714   110.406  0.002111 0.0045499
     6      16     21046     21030   109.508     108.5   0.002660.00455977
     7      15     24514     24499   109.349   108.406  0.0027360.00456724
     8      15     28053     28038   109.502   110.594  0.0024880.00456131
     9      16     31545     31529   109.455   109.094  0.0049710.00456339
    10      16     35045     35029   109.446   109.375  0.0034240.00456415
    11      16     38568     38552   109.503   110.094  0.0022530.00456172
    12      16     42071     42055   109.499   109.469  0.0045510.00456265
    13      16     45528     45512   109.385   108.031  0.0020010.00456736
    14      16     49035     49019   109.399   109.594  0.0069930.00456704
    15      15     52548     52533   109.426   109.812  0.0032570.00456619
    16      16     56030     56014   109.385   108.781  0.0065380.00456783
    17      16     59551     59535   109.422   110.031  0.0023720.00456634
    18      15     62939     62924   109.226   105.906  0.0022830.00457447
    19      15     66415     66400   109.194   108.625  0.0025060.00457609
2014-11-25 14:20:04.299993min lat: 0.001343 max lat: 0.02678 avg lat: 0.00457695
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     69898     69882   109.174   108.812   0.001840.00457695
    21      16     73431     73415   109.232   110.406  0.0023240.00457458
    22      16     76817     76801   109.076   105.812  0.0017560.00458124
    23      16     80279     80263   109.037   108.188  0.0022270.00458285
    24      15     83771     83756   109.041   109.156  0.0061310.00458283
    25      16     87091     87075   108.828   103.719  0.0019410.00459186
    26      16     90599     90583   108.858   109.625  0.0036220.00459071
    27      16     94057     94041   108.828   108.062  0.002219  0.004592
    28      16     97518     97502   108.803   108.156   0.00227  0.004593
    29      15    101021    101006   108.827     109.5  0.0039720.00459184
    30      16    104512    104496   108.834   109.062  0.0025240.00459172
    31      16    108029    108013   108.868   109.906  0.0055670.00459037
    32      16    111547    111531   108.901   109.938  0.0060030.00458899
    33      16    115054    115038   108.922   109.594  0.0075020.00458824
    34      15    118552    118537   108.934   109.344  0.0044980.00458767
    35      16    122022    122006   108.918   108.406  0.0034810.00458842
    36      16    125533    125517    108.94   109.719  0.0023880.00458746
    37      16    129013    128997   108.935    108.75  0.0026620.00458766
 Total time run:        37.717223
Total reads made:     131449
Read size:            32768
Bandwidth (MB/sec):    108.910 

Average Latency:       0.00458907
Max latency:           0.039276
Min latency:           0.001343
