   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       864       848    6.6233     6.625  0.001046 0.0170148
     2      15      3208      3193   12.4702   18.3203  0.003477 0.0100112
     3      16      5538      5522   14.3775   18.1953  0.0028880.00868652
     4      16      7496      7480   14.6069   15.2969  0.0011930.00822339
     5      16      9429      9413   14.7055   15.1016  0.0013240.00832379
     6      16     11400     11384   14.8207   15.3984  0.0012020.00832937
     7      16     12831     12815   14.3003   11.1797  0.0011380.00849151
     8      16     15116     15100    14.744   17.8516  0.0011350.00823776
     9      16     16488     16472   14.2966   10.7188  0.0011980.00872873
    10      16     17754     17738   13.8559   9.89062  0.0011110.00887248
    11      16     19652     19636   13.9441   14.8281  0.0011150.00888446
    12      15     20859     20844   13.5685    9.4375  0.0020710.00920908
    13      16     22418     22402    13.461   12.1719  0.0010810.00924648
 Total time run:        13.233774
Total reads made:     22575
Read size:            8192
Bandwidth (MB/sec):    13.327 

Average Latency:       0.00937721
Max latency:           0.762002
Min latency:           0.000965
