   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5091      5075   79.2734   79.2969  0.002967  0.003141
     2      16      9747      9731   76.0059     72.75  0.0026170.00328232
     3      16     15495     15479   80.6038   89.8125  0.0031990.00309631
     4      16     20464     20448   79.8605   77.6406  0.0019510.00312567
     5      16     25603     25587   79.9458   80.2969  0.0017310.00311778
     6      16     30732     30716   79.9766   80.1406  0.0037810.00312261
     7      16     35086     35070    78.269   68.0312   0.001610.00319109
     8      15     40665     40650   79.3824   87.1875  0.0056240.00314615
     9      15     45744     45729    79.378   79.3594  0.0035520.00314691
    10      15     51218     51203   79.9921   85.5312  0.0017430.00312266
    11      16     56663     56647   80.4521   85.0625  0.0024320.00310491
    12      15     61923     61908   80.5972   82.2031  0.0016260.00309945
    13      16     67563     67547   81.1742   88.1094  0.0025040.00307735
    14      16     73084     73068   81.5372   86.2656  0.001915 0.0030638
    15      15     78254     78239   81.4872   80.7969  0.0025940.00306572
 Total time run:        15.719451
Total reads made:     81906
Read size:            16384
Bandwidth (MB/sec):    81.414 

Average Latency:       0.00306845
Max latency:           0.154348
Min latency:           0.001144
