   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5995      5979   46.6988   46.7109  0.0020570.00267008
     2      16     12375     12359   48.2672   49.8438  0.0021010.00258453
     3      16     17169     17153   44.6612   37.4531   0.00164 0.0025552
     4      16     19972     19956   38.9701   21.8984  0.0013580.00320422
     5      16     26446     26430   41.2903   50.5781  0.0019560.00302445
     6      16     33144     33128   43.1288   52.3281  0.0020410.00289566
     7      16     39640     39624   44.2166     50.75  0.0012220.00282432
     8      15     45988     45973   44.8889   49.6016  0.0048360.00278227
     9      15     52433     52418   45.4951   50.3516  0.0025520.00274508
    10      16     58764     58748   45.8903   49.4531  0.0042940.00272146
    11      16     64846     64830   46.0375   47.5156  0.0022070.00271299
    12      16     71157     71141   46.3093   49.3047   0.002490.00269709
    13      15     78031     78016    46.878   53.7109  0.0015720.00266441
    14      15     84287     84272   47.0202    48.875   0.002060.00265636
    15      15     91093     91078   47.4298   53.1719    0.00270.00263348
    16      15     97646     97631   47.6647   51.1953  0.0032880.00262049
    17      16    104062    104046   47.8086   50.1172   0.002080.00261261
    18      16    110125    110109   47.7837   47.3672  0.0030410.00261397
    19      16    116340    116324    47.824   48.5547   0.003390.00261156
2014-11-25 13:55:47.723263min lat: 0.000968 max lat: 0.912348 avg lat: 0.00260313
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    122870    122854   47.9833   51.0156  0.0028420.00260313
    21      16    128577    128561   47.8212   44.5859  0.0014530.00261194
    22      15    134969    134954   47.9174   49.9453  0.0017050.00260669
    23      16    141295    141279   47.9822   49.4141   0.001640.00260323
 Total time run:        23.124613
Total reads made:     142077
Read size:            8192
Bandwidth (MB/sec):    48.000 

Average Latency:       0.00260239
Max latency:           0.912348
Min latency:           0.000968
