   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        60        44  0.343646   0.34375  0.001041 0.0022402
     2      16      5246      5230   20.4252   40.5156  0.0023750.00611191
     3      15     11832     11817   30.7675   51.4609  0.0057580.00405691
     4      16     17810     17794   34.7478   46.6953  0.0024940.00359368
     5      16     24130     24114   37.6719    49.375  0.0024890.00331462
     6      15     30763     30748   40.0297   51.8281   0.002760.00311878
     7      15     36870     36855   41.1262   47.7109  0.0025330.00303675
     8      16     43061     43045   42.0294   48.3594  0.0015760.00297148
     9      16     49278     49262   42.7555   48.5703  0.0015180.00292113
    10      16     55732     55716   43.5214   50.4219  0.0019570.00286979
    11      15     61616     61601   43.7437   45.9766  0.0016460.00285526
    12      16     67990     67974   44.2469   49.7891  0.0062560.00282247
    13      15     73897     73882   44.3933   46.1562   0.002120.00281348
    14      16     80547     80531   44.9322   51.9453  0.0024530.00277991
    15      16     86705     86689   45.1436   48.1094  0.0029120.00276688
    16      16     92427     92411   45.1158   44.7031  0.0013320.00276856
    17      16     98634     98618    45.314   48.4922  0.0017760.00275629
    18      16    104730    104714   45.4421    47.625  0.0014190.00274878
    19      15    110281    110266    45.333    43.375  0.0011790.00275421
2014-11-25 14:01:57.333258min lat: 0.000999 max lat: 1.01382 avg lat: 0.00274739
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    116425    116409   45.4656   47.9922  0.0015550.00274739
    21      15    122675    122660   45.6257   48.8359  0.0027640.00273775
 Total time run:        21.285176
Total reads made:     124610
Read size:            8192
Bandwidth (MB/sec):    45.737 

Average Latency:       0.00273123
Max latency:           1.01382
Min latency:           0.000999
