   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       304       288   8.99767         9   0.001390.00369919
     2      16       304       288   4.49913         0         -0.00369919
     3      16       304       288   2.99954         0         -0.00369919
     4      16       304       288   2.24969         0         -0.00369919
     5      16      1838      1822   11.3861   11.9844  0.004237 0.0438902
     6      16      5341      5325   27.7309   109.469  0.005954 0.0180199
     7      16      8850      8834   39.4325   109.656  0.003901 0.0126724
     8      16     11626     11610   45.3458     86.75  0.001384  0.010703
     9      16     11626     11610   40.3074         0         -  0.010703
    10      16     11626     11610   36.2769         0         -  0.010703
    11      16     11626     11610   32.9791         0         -  0.010703
    12      16     11626     11610   30.2309         0         -  0.010703
    13      16     11626     11610   27.9055         0         -  0.010703
    14      16     12898     12882   28.7513     6.625  0.001505 0.0169379
    15      15     13110     13095   27.2783   6.65625   0.00657 0.0183233
    16      16     16619     16603   32.4241   109.625   0.00265 0.0154164
    17      16     20130     20114   36.9701   109.719  0.004395 0.0135205
    18      16     23620     23604   40.9745   109.062  0.003478 0.0121993
    19      16     24548     24532   40.3441        29  0.001589 0.0119044
2014-11-24 22:01:35.439565min lat: 0.001306 max lat: 5.57718 avg lat: 0.0119044
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     24548     24532   38.3269         0         - 0.0119044
    21      16     24548     24532   36.5018         0         - 0.0119044
    22      16     24548     24532   34.8427         0         - 0.0119044
    23      16     25983     25967   35.2774   11.2109  0.005859 0.0141702
    24      15     29471     29456   38.3499   109.031  0.006231 0.0130346
    25      15     33009     32994   41.2379   110.562  0.003266 0.0121215
    26      16     36543     36527   43.8978   110.406  0.004169 0.0113874
    27      16     40056     40040   46.3374   109.781    0.0049 0.0107878
    28      16     43588     43572    48.624   110.375  0.002421 0.0102805
    29      15     47121     47106   50.7551   110.438  0.0040970.00984864
    30      16     50661     50645   52.7493   110.594  0.0048860.00947657
    31      16     54212     54196   54.6269   110.969  0.0019320.00915041
    32      16     57766     57750   56.3901   111.062  0.0039830.00886454
    33      16     61300     61284   58.0275   110.438  0.0033220.00861429
    34      16     64849     64833   59.5824   110.906  0.0042760.00838957
    35      16     68399     68383   61.0493   110.938   0.00585  0.008188
    36      15     71884     71869   62.3792   108.938  0.004938 0.0080134
    37      16     75432     75416   63.6886   110.844  0.0022580.00784852
 Total time run:        37.979102
Total reads made:     78866
Read size:            32768
Bandwidth (MB/sec):    64.893 

Average Latency:       0.00770347
Max latency:           5.57718
Min latency:           0.001306
