 Maintaining 16 concurrent writes of 524288 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_11197
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       143       127    63.482      63.5    0.0315  0.112478
     2      16       157       141   35.2427         7  0.380015  0.121367
     3      16       281       265   44.1589        62  0.028212   0.17305
     4      16       377       361   45.1177        48  0.061124  0.176161
     5      16       499       483   48.2926        61  0.020761  0.161522
     6      16       571       555   46.2432        36  0.029613  0.170061
     7      16       706       690   49.2786      67.5  0.247606  0.159999
     8      16       829       813   50.8053      61.5  0.264481  0.155037
     9      16       956       940   52.2149      63.5  0.239118  0.151282
    10      16      1034      1018   50.8929        39  0.232705  0.149557
    11      16      1039      1023   46.4936       2.5   1.46493  0.155825
    12      16      1192      1176   48.9934      76.5  0.039744  0.162038
    13      16      1252      1236   47.5321        30  0.239488  0.159914
    14      16      1287      1271   45.3869      17.5  0.535968   0.17083
    15      16      1307      1291   43.0277        10  0.610368  0.179472
    16      16      1325      1309   40.9009         9   1.14558  0.188756
    17      16      1328      1312   38.5833       1.5   0.46689  0.190323
    18      16      1397      1381   38.3563      34.5  0.150755  0.207709
    19      16      1503      1487   39.1266        53  0.097098  0.203077
2014-11-23 15:47:33.509422min lat: 0.019448 max lat: 3.11181 avg lat: 0.197968
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1626      1610   40.2449      61.5  0.094902  0.197968
    21      16      1719      1703   40.5425      46.5  0.286305  0.195976
    22      16      1827      1811   41.1539        54   0.13739  0.193784
    23      16      1904      1888   41.0383      38.5  0.284227  0.192396
    24      16      1924      1908    39.745        10  0.437795  0.196728
    25      16      1941      1925   38.4952       8.5  0.418412   0.20226
    26      16      1962      1946   37.4184      10.5  0.938047   0.20908
    27      16      1980      1964   36.3658         9  0.223235   0.21488
    28      16      1997      1981   35.3706       8.5  0.940968   0.22007
    29      16      2018      2002    34.513      10.5  0.423179  0.227714
    30      16      2036      2020   33.6625         9  0.682432  0.233124
    31      16      2053      2037   32.8508       8.5  0.820703  0.238888
    32      16      2074      2058   32.1523      10.5   0.50529  0.244783
    33      16      2092      2076   31.4507         9    1.1547  0.250017
    34      16      2111      2095   30.8051       9.5   1.94029  0.255251
    35      16      2130      2114   30.1963       9.5   1.79317  0.260534
    36      16      2146      2130   29.5797         8   2.61114  0.264381
    37      16      2146      2130   28.7803         0         -  0.264381
    38      16      2246      2230   29.3386        25  0.195626  0.272014
    39      16      2385      2369   30.3681      69.5  0.036815  0.262951
2014-11-23 15:47:53.511717min lat: 0.019448 max lat: 3.33499 avg lat: 0.255106
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2520      2504   31.2962      67.5  0.218176  0.255106
    41      16      2646      2630   32.0693        63  0.262512   0.24871
    42      16      2768      2752   32.7579        61  0.204736  0.243685
    43      16      2884      2868   33.3448        58  0.109796  0.238897
    44      16      2901      2885   32.7801       8.5  0.330701  0.240431
    45      16      2922      2906    32.285      10.5  0.804206  0.245101
    46      16      2939      2923   31.7679       8.5  0.419181  0.248563
    47      16      2960      2944   31.3154      10.5   1.26523  0.253196
    48      16      2977      2961     30.84       8.5    0.6698  0.255793
    49      16      2983      2967   30.2719         3   1.22593  0.257399
    50      16      3021      3005   30.0464        19  0.036581  0.265421
    51      16      3023      3007   29.4768         1  0.858456  0.265745
    52      16      3029      3013   28.9677         3   1.95546  0.269066
    53      16      3033      3017   28.4588         2   2.91527  0.272043
    54      16      3041      3025   28.0059         4   1.20794  0.279087
    55      16      3054      3038   27.6149       6.5  0.949596  0.285352
    56      16      3098      3082   27.5146        22  0.201263  0.290324
    57      16      3178      3162   27.7335        40  0.173362  0.287191
    58      16      3296      3280   28.2725        59  0.179009   0.28254
    59      16      3407      3391   28.7338      55.5  0.097123  0.277929
2014-11-23 15:48:13.514101min lat: 0.019448 max lat: 4.8076 avg lat: 0.276729
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      3455      3439   28.6549        24  0.177049  0.276729
    61      16      3600      3584   29.3735      72.5  0.207694  0.271943
    62      16      3674      3658   29.4964        37  0.136009  0.270875
    63      16      3686      3670   29.1235         6  0.146908  0.270274
    64      16      3795      3779   29.5199      54.5   0.19646  0.270632
    65      16      3831      3815   29.3426        18  0.497084  0.270471
    66      16      3849      3833   29.0344         9  0.414051   0.27297
    67      16      3857      3841   28.6607         4  0.241205  0.273976
    68      16      3859      3843   28.2539         1   2.18072  0.274997
    69      16      3994      3978   28.8226      67.5  0.216892  0.277169
    70      16      4035      4019   28.7037      20.5  0.775814  0.276822
    71      16      4057      4041   28.4543        11  0.313266   0.27927
    72      16      4075      4059   28.1841         9  0.310032  0.281375
    73      16      4093      4077   27.9213         9  0.962995  0.284076
    74      16      4109      4093   27.6521         8  0.581654  0.286586
    75      16      4129      4113   27.4167        10  0.208013  0.288745
    76      16      4146      4130   27.1678       8.5   1.18553  0.291286
    77      16      4165      4149   26.9383       9.5  0.808708  0.294301
    78      16      4184      4168   26.7148       9.5  0.516297  0.297137
    79      16      4204      4188   26.5032        10  0.918134  0.299963
2014-11-23 15:48:33.516448min lat: 0.019448 max lat: 4.8076 avg lat: 0.301968
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      4223      4207   26.2906       9.5  0.667136  0.301968
    81      16      4243      4227   26.0895        10   0.85394  0.303915
    82      16      4261      4245   25.8811         9  0.390448  0.305947
    83      16      4281      4265   25.6897        10  0.571946  0.307724
    84      16      4302      4286   25.5089      10.5  0.476054  0.311723
    85      16      4322      4306   25.3264        10  0.943145   0.31448
    86      16      4342      4326   25.1481        10  0.514895   0.31606
    87      16      4360      4344   24.9624         9  0.754726   0.31882
    88      16      4380      4364   24.7924        10  0.412502  0.320491
    89      16      4397      4381   24.6093       8.5  0.656854  0.322426
    90      16      4417      4401    24.447        10  0.787549  0.324929
