   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        51        35  0.546725  0.546875  0.0013980.00217363
     2      16        51        35   0.27338         0         -0.00217363
     3      16        51        35  0.182259         0         -0.00217363
     4      16      5425      5409   21.1255   27.9896  0.001649 0.0118248
     5      16     10024     10008     31.27   71.8594  0.002046 0.0076474
     6      16     10024     10008   26.0585         0         - 0.0076474
     7      16     10024     10008   22.3359         0         - 0.0076474
     8      16     10024     10008    19.544         0         - 0.0076474
     9      15     13043     13028   22.6149   11.7969  0.003932 0.0110505
    10      16     18845     18829   29.4163   90.6406  0.0019240.00849528
    11      16     24670     24654   35.0151   91.0156  0.0023670.00713681
    12      15     30433     30418   39.6011   90.0625  0.0018710.00631015
    13      16     35704     35688   42.8882   82.3438  0.0017980.00582641
    14      16     41471     41455   46.2603   90.1094  0.0019140.00540138
    15      16     47020     47004   48.9557   86.7031  0.0034420.00510427
    16      15     52779     52764     51.52        90  0.0042780.00485012
    17      15     58211     58196   53.4814    84.875  0.0033760.00467231
    18      15     63449     63434   55.0565   81.8438  0.0014690.00453867
    19      15     69064     69049   56.7758   87.7344  0.0030590.00440097
2014-11-25 14:13:46.782367min lat: 0.001119 max lat: 3.77919 avg lat: 0.00432019
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     72678     72662   56.7593   56.4531  0.0012840.00432019
    21      16     72678     72662   54.0565         0         -0.00432019
    22      16     72678     72662   51.5994         0         -0.00432019
    23      15     73606     73591   49.9871   4.83854  0.0025040.00499917
    24      15     79100     79085   51.4807   85.8438  0.0020160.00485416
    25      16     84619     84603   52.8698   86.2188  0.0052110.00472638
    26      16     90086     90070   54.1213   85.4219   0.004320.00461721
    27      16     95646     95630    55.334    86.875  0.0021880.00451604
    28      16    101105    101089   56.4036   85.2969   0.006830.00443024
    29      16    106083    106067   57.1404   77.7812  0.0025580.00437325
    30      15    111033    111018   57.8141   77.3594  0.0013670.00432109
    31      15    115684    115669    58.293   72.6719  0.0017510.00428677
    32      15    121009    120994   59.0711   83.2031  0.0031610.00423034
    33      16    126913    126897   60.0757   92.2344  0.0017690.00415953
    34      15    131861    131846   60.5828   77.3281  0.0028950.00412466
    35      15    137380    137365   61.3154   86.2344  0.0046960.00407541
    36      16    143031    143015   62.0642   88.2812  0.0050170.00402617
 Total time run:        36.622592
Total reads made:     146066
Read size:            16384
Bandwidth (MB/sec):    62.319 

Average Latency:       0.00400989
Max latency:           3.77919
Min latency:           0.001075
