   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      5760      5745   89.7411   89.7656  0.0027820.00277795
     2      15     11198     11183   87.3483   84.9688  0.0027570.00285689
     3      15     16976     16961   88.3206   90.2812  0.0023160.00282709
     4      15     22930     22915   89.4953   93.0312  0.0024610.00279032
     5      16     26258     26242   81.9921   51.9844  0.0011060.00277067
     6      15     27129     27114   70.5977    13.625  0.0023920.00353823
     7      16     32936     32920   73.4705   90.7188    0.00140.00339957
     8      16     37718     37702   73.6253   74.7188  0.0019260.00339284
     9      16     43639     43623   75.7228   92.5156   0.002320.00329905
    10      15     49338     49323   77.0556   89.0625  0.0026540.00324179
    11      15     54519     54504    77.409   80.9531    0.00310.00322722
    12      16     60390     60374   78.6005   91.7188  0.003781 0.0031782
    13      16     65924     65908   79.2048   86.4688  0.0016840.00315414
    14      16     71596     71580   79.8769    88.625  0.003357 0.0031276
    15      15     77101     77086   80.2862   86.0312  0.0023670.00311173
    16      16     82932     82916    80.961   91.0938  0.0012360.00308544
    17      15     88769     88754   81.5636   91.2188  0.0019980.00306309
    18      15     93768     93753   81.3712   78.1094  0.0028020.00307035
    19      16     99334     99318   81.6644   86.9531  0.0023210.00305923
2014-11-25 14:07:51.905563min lat: 0.001078 max lat: 1.31899 avg lat: 0.00304281
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    105128    105112   82.1072   90.5312  0.0030060.00304281
    21      16    110274    110258   82.0256   80.4062  0.0019820.00304548
    22      15    115083    115068    81.713   75.1562  0.001429 0.0030575
    23      15    120149    120134   81.6014   79.1562  0.003977 0.0030616
    24      16    125229    125213   81.5076   79.3594  0.0015090.00306525
    25      15    130967    130952   81.8337   89.6719  0.0021040.00305302
 Total time run:        25.860930
Total reads made:     135432
Read size:            16384
Bandwidth (MB/sec):    81.827 

Average Latency:       0.00305339
Max latency:           1.31899
Min latency:           0.001078
