   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        81        65   64.9795        65   0.02175  0.193599
     2      16       146       130   64.9843        65  0.013879  0.218929
     3      16       231       215    71.652        85  0.368142  0.207175
     4      16       299       283   70.7369        68  0.939962  0.209697
     5      16       371       355   70.9875        72  0.075446  0.213841
     6      16       439       423   70.4882        68  0.022725  0.215252
     7      16       508       492   70.2743        69  0.014173  0.216192
     8      16       579       563   70.3639        71  0.013979  0.216756
     9      16       643       627   69.6559        64  0.023741  0.220587
    10      16       721       705   70.4893        78   1.31544  0.219342
    11      16       778       762   69.2623        57    0.7214  0.223498
    12      16       821       805   67.0734        43  0.037724  0.229235
    13      16       884       868   66.7595        63  0.014027  0.229561
    14      16       938       922   65.8476        54  0.014139  0.233198
    15      16      1011       995   66.3235        73  0.028204  0.233754
    16      16      1096      1080   67.4901        85  0.020362  0.232349
    17      16      1166      1150   67.6372        70   0.01883  0.231266
    18      16      1246      1230   68.3234        80  0.013975  0.228897
    19      16      1317      1301   68.4639        71  0.018601  0.228321
2014-11-25 10:36:09.111050min lat: 0.013488 max lat: 1.80035 avg lat: 0.227603
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1389      1373   68.6402        72  0.072542  0.227603
    21      16      1469      1453   69.1806        80  0.288481  0.226718
    22      16      1530      1514   68.8084        61  0.013914  0.227219
    23      16      1587      1571   68.2948        57  0.015874  0.229047
    24      16      1641      1625   67.6989        54  0.035362  0.232464
    25      16      1691      1675   66.9907        50  0.399233  0.234288
    26      16      1736      1720   66.1447        45  0.429562  0.236411
    27      16      1791      1775   65.7317        55  0.492847  0.238809
    28      16      1854      1838   65.6339        63  0.024854  0.240636
    29      16      1923      1907   65.7496        69  0.032777   0.24075
    30      16      1992      1976   65.8577        69  0.052137  0.239333
    31      16      2060      2044   65.9266        68  0.263155  0.239422
    32      16      2136      2120   66.2411        76  0.311775  0.238934
    33      16      2191      2175   65.9002        55  0.018119  0.238852
    34      16      2234      2218   65.2265        43  0.036975  0.240041
    35      16      2284      2268   64.7913        50  0.023657  0.243771
    36      16      2395      2379   66.0744       111   0.05159   0.24088
    37      16      2463      2447    66.126        68  0.059343  0.239876
    38      16      2530      2514   66.1488        67   0.70727  0.239942
    39      16      2586      2570   65.8884        56   1.08111   0.24034
2014-11-25 10:36:29.113697min lat: 0.013488 max lat: 2.22833 avg lat: 0.242457
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2630      2614    65.341        44   0.03278  0.242457
    41      16      2701      2685   65.4788        71  0.014433  0.241779
    42      16      2741      2725    64.872        40   1.09141  0.244947
    43      16      2805      2789   64.8516        64  0.019187  0.244084
    44      16      2889      2873   65.2865        84  0.014096  0.243272
    45      16      2941      2925   64.9911        52  0.023919  0.243571
    46      16      3010      2994   65.0781        69  0.654414  0.243413
    47      16      3067      3051   64.9061        57  0.015856  0.244148
    48      16      3113      3097   64.5121        46  0.025508  0.245309
    49      16      3209      3193   65.1544        96  0.035691  0.244028
    50      16      3300      3284   65.6711        91  0.023424  0.241794
    51      16      3347      3331   65.3049        47   1.38659  0.242283
    52      16      3404      3388    65.145        57  0.562414  0.242274
    53      16      3496      3480   65.6515        92   1.36583  0.242247
    54      16      3556      3540   65.5467        60  0.013992  0.242409
    55      16      3615      3599   65.4275        59  0.014165  0.242632
    56      16      3664      3648   65.1341        49  0.013996  0.243484
    57      16      3740      3724   65.3245        76  0.014068  0.242948
    58      16      3792      3776   65.0947        52  0.039376  0.243875
    59      16      3853      3837   65.0251        61   1.34147  0.244128
2014-11-25 10:36:49.116262min lat: 0.013488 max lat: 2.22833 avg lat: 0.242817
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      3927      3911   65.1746        74  0.022273  0.242817
    61      16      4009      3993   65.4502        82  0.027309  0.242137
    62      16      4091      4075    65.717        82  0.015504  0.242342
    63      16      4203      4187   66.4514       112   0.34814  0.240248
    64      16      4310      4294   67.0847       107  0.054643  0.237723
    65      16      4424      4408   67.8063       114  0.398529  0.235461
    66      16      4535      4519   68.4605       111  0.341338  0.233112
    67      16      4629      4613   68.8415        94  0.395312   0.23151
    68      16      4718      4702   69.1378        89  0.053596  0.230334
    69      16      4829      4813   69.7443       111  0.073384   0.22885
    70      16      4940      4924   70.3334       111   0.02612   0.22706
    71      16      5050      5034   70.8919       110  0.339011  0.225172
    72      16      5162      5146   71.4626       112  0.353551  0.223441
    73      16      5267      5251   71.9218       105  0.391864  0.221893
    74      16      5340      5324   71.9363        73  0.013717  0.221361
    75      16      5429      5413   72.1637        89  0.030255   0.22125
    76      16      5513      5497   72.3193        84  0.019975  0.220345
    77      16      5582      5566    72.276        69  0.738856  0.220308
    78      16      5693      5677   72.7723       111  0.038139  0.219141
    79      16      5803      5787   73.2434       110  0.452831   0.21804
2014-11-25 10:37:09.118886min lat: 0.013488 max lat: 2.22833 avg lat: 0.216653
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      5913      5897   73.7026       110  0.191059  0.216653
    81      16      6025      6009   74.1752       112  0.319408  0.215386
    82      16      6135      6119   74.6119       110  0.027587  0.213976
    83      16      6246      6230   75.0501       111  0.046463  0.212829
    84      16      6357      6341   75.4779       111  0.358273  0.211671
    85      16      6467      6451   75.8839       110  0.077112  0.210504
    86      16      6578      6562   76.2921       111  0.065792   0.20934
    87      16      6688      6672   76.6793       110  0.070859  0.208324
    88      16      6799      6783   77.0692       111  0.043943   0.20728
