 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_365
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      2241      2226   8.69331   8.69531  0.0054950.00716452
     2      16      4117      4101   8.00834   7.32422  0.003035 0.0077293
     3      16      5332      5316    6.9208   4.74609  0.0034430.00901634
     4      16      7605      7589   7.41006   8.87891   0.002620.00839523
     5      15      9622      9607   7.50442   7.88281  0.0019240.00832091
     6      16     11932     11916   7.75677   9.01953    0.00350.00805011
     7      16     14196     14180   7.91191   8.84375  0.0033990.00776174
     8      16     15185     15169   7.40579   3.86328   0.002110.00843075
     9      16     16263     16247   7.05075   4.21094  0.0018110.00873708
    10      16     16503     16487   6.43943    0.9375  0.0027550.00945451
    11      16     17909     17893   6.35326   5.49219  0.0043990.00981516
    12      16     20324     20308   6.60986   9.43359  0.0036590.00945146
    13      16     22560     22544   6.77321   8.73438  0.0058760.00922388
    14      16     23777     23761   6.62894   4.75391  0.0033450.00910445
    15      16     25320     25304   6.58877   6.02734  0.0024320.00948214
    16      16     27029     27013   6.59417   6.67578  0.0030890.00941401
    17      16     27350     27334   6.28003   1.25391  0.002092 0.0098913
    18      16     27350     27334   5.93114         0         - 0.0098913
    19      16     28062     28046   5.76533   1.39062  0.002248 0.0108205
2014-11-25 06:17:06.481716min lat: 0.001597 max lat: 1.82336 avg lat: 0.010852
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     29489     29473   5.75575   5.57422   0.00329  0.010852
    21      16     31235     31219    5.8064   6.82031  0.004414 0.0107606
    22      16     33511     33495   5.94654   8.89062  0.003247 0.0105032
    23      16     35688     35672   6.05769   8.50391  0.001812 0.0102775
    24      16     36247     36231   5.89626   2.18359  0.001868  0.010553
    25      16     36523     36507   5.70354   1.07812  0.007093 0.0108483
    26      16     36523     36507   5.48417         0         - 0.0108483
    27      16     36523     36507   5.28106         0         - 0.0108483
    28      16     36523     36507   5.09245         0         - 0.0108483
    29      16     36523     36507   4.91684         0         - 0.0108483
    30      16     36816     36800    4.7911  0.228906   0.00184 0.0127742
    31      16     36816     36800   4.63655         0         - 0.0127742
    32      16     36816     36800   4.49166         0         - 0.0127742
    33      16     36936     36920   4.36975   0.15625  0.002132 0.0141991
    34      16     37352     37336   4.28902     1.625  0.001989 0.0144828
    35      16     38117     38101   4.25184   2.98828  0.002759  0.014669
    36      16     38480     38464   4.17312   1.41797  0.002333 0.0148869
    37      16     38883     38867   4.10288   1.57422  0.002683 0.0151652
