   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      6456      6440   25.1497   25.1562  0.0021590.00247933
     2      15     10758     10743    20.978   16.8086  0.0031550.00297523
     3      15     17493     17478   22.7537   26.3086  0.0033080.00274333
     4      16     21774     21758   21.2445   16.7188  0.0013040.00266675
     5      16     21774     21758   16.9958         0         -0.00266675
     6      16     21774     21758   14.1633         0         -0.00266675
     7      16     26139     26123   14.5755   5.68359  0.0018910.00428536
     8      15     32731     32716   15.9724   25.7539  0.0016670.00391058
     9      15     39250     39235   17.0267   25.4648   0.00332 0.0036684
    10      16     46396     46380   18.1146   27.9102  0.0033240.00344807
    11      16     53330     53314   18.9299   27.0859  0.0016360.00329936
    12      16     60233     60217   19.5992   26.9648   0.002430.00318683
    13      15     67115     67100   20.1595   26.8867  0.002286 0.0030982
    14      15     74119     74104   20.6735   27.3594  0.0033290.00302123
    15      15     81128     81113   21.1203   27.3789  0.0028960.00295726
    16      15     87730     87715   21.4119   25.7891  0.0024270.00291687
 Total time run:        16.299307
Total reads made:     89726
Read size:            4096
Bandwidth (MB/sec):    21.504 

Average Latency:       0.00290475
Max latency:           2.73171
Min latency:           0.001003
