 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_768
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1892      1876   7.32645   7.32812  0.0028960.00849551
     2      16      4304      4288   8.37352   9.42188  0.0033340.00744958
     3      16      5800      5784   7.53007   5.84375  0.0024940.00748536
     4      15      7175      7160   6.99118     5.375  0.002093 0.0089314
     5      16      9611      9595   7.49507   9.51172  0.0027960.00827565
     6      16      9642      9626   6.26609  0.121094  0.0018680.00856624
     7      16      9642      9626   5.37095         0         -0.00856624
     8      16      9642      9626   4.69958         0         -0.00856624
     9      16      9642      9626   4.17741         0         -0.00856624
    10      16      9642      9626   3.75968         0         -0.00856624
    11      16     10509     10493   3.72575  0.677344  0.002202 0.0162812
    12      16     12265     12249   3.98682   6.85938  0.002306 0.0156672
    13      16     13592     13576   4.07883   5.18359  0.002038 0.0151081
    14      16     13596     13580    3.7886  0.015625  0.002084 0.0151668
    15      16     13850     13834   3.60217  0.992188  0.002411  0.016847
    16      16     13850     13834   3.37704         0         -  0.016847
    17      16     13850     13834    3.1784         0         -  0.016847
    18      16     13850     13834   3.00183         0         -  0.016847
    19      16     13850     13834   2.84384         0         -  0.016847
2014-11-25 06:22:42.890928min lat: 0.001582 max lat: 5.37954 avg lat: 0.0171643
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     13860     13844    2.7036 0.0078125  0.004244 0.0171643
    21      16     14940     14924   2.77572   4.21875  0.004942 0.0225101
    22      16     17590     17574   3.12003   10.3516  0.002101 0.0200238
    23      16     19526     19510   3.31314    7.5625  0.002355 0.0188589
    24      16     20342     20326   3.30789    3.1875  0.002291 0.0185985
    25      16     21182     21166   3.30681   3.28125  0.001988 0.0188814
    26      16     22682     22666   3.40496   5.85938  0.002406 0.0183426
    27      16     22682     22666   3.27885         0         - 0.0183426
    28      16     22941     22925   3.19788  0.505859  0.001848 0.0190469
    29      16     23089     23073   3.10754  0.578125  0.001746 0.0199252
    30      16     23089     23073   3.00396         0         - 0.0199252
    31      16     23089     23073   2.90706         0         - 0.0199252
    32      16     23089     23073   2.81621         0         - 0.0199252
    33      16     23089     23073   2.73087         0         - 0.0199252
    34      16     23089     23073   2.65055         0         - 0.0199252
    35      16     23302     23286   2.59859  0.138672  0.002889 0.0240231
    36      16     24181     24165   2.62178   3.43359  0.002125 0.0236004
    37      15     26221     26206   2.76637   7.97266  0.003205 0.0225887
    38      16     26615     26599   2.73397   1.53516  0.001788 0.0223405
    39      15     28030     28015   2.80568   5.53125  0.003698 0.0222727
2014-11-25 06:23:02.893085min lat: 0.00157 max lat: 6.18586 avg lat: 0.0209866
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     30509     30493    2.9775   9.67969  0.003508 0.0209866
    41      16     33373     33357   3.17771   11.1875  0.002673 0.0196613
    42      16     34495     34479   3.20639   4.38281  0.002285 0.0193889
    43      16     34495     34479   3.13183         0         - 0.0193889
    44      16     34766     34750    3.0847  0.529297  0.001692 0.0199909
    45      16     35561     35545   3.08516   3.10547  0.002307 0.0200638
    46      16     35653     35637    3.0259  0.359375   0.00214 0.0203305
    47      16     36541     36525   3.03532   3.46875  0.005338 0.0205855
    48      16     36613     36597   2.97794   0.28125  0.001998 0.0205589
    49      16     36613     36597   2.91717         0         - 0.0205589
    50      16     36613     36597   2.85882         0         - 0.0205589
    51      16     36613     36597   2.80277         0         - 0.0205589
    52      16     36613     36597   2.74887         0         - 0.0205589
    53      16     36613     36597     2.697         0         - 0.0205589
    54      16     36613     36597   2.64706         0         - 0.0205589
    55      16     36613     36597   2.59893         0         - 0.0205589
    56      16     36616     36600   2.552730.00146484  0.002346 0.0210442
    57      16     36620     36604   2.50822  0.015625  0.002494 0.0210657
    58      16     36822     36806   2.47858  0.789062  0.002066 0.0251817
    59      16     37265     37249   2.46589   1.73047  0.002097  0.025302
2014-11-25 06:23:22.895275min lat: 0.001567 max lat: 10.9162 avg lat: 0.0253718
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     37566     37550   2.44439   1.17578  0.001692 0.0253718
    61      16     37888     37872   2.42494   1.25781  0.001953 0.0256431
    62      16     38432     38416   2.42009     2.125  0.001994 0.0257719
    63      16     39040     39024   2.41937     2.375  0.002111 0.0257643
    64      16     39100     39084   2.38523  0.234375  0.002016 0.0258503
    65      16     39148     39132   2.35142    0.1875   0.00217 0.0263828
    66      16     39148     39132    2.3158         0         - 0.0263828
    67      16     39148     39132   2.28123         0         - 0.0263828
    68      16     39148     39132   2.24768         0         - 0.0263828
    69      16     39148     39132   2.21511         0         - 0.0263828
    70      16     39148     39132   2.18347         0         - 0.0263828
    71      16     39148     39132   2.15271         0         - 0.0263828
    72      16     39148     39132   2.12281         0         - 0.0263828
    73      16     39148     39132   2.09374         0         - 0.0263828
    74      16     39148     39132   2.06544         0         - 0.0263828
    75      16     39148     39132    2.0379         0         - 0.0263828
    76      16     39148     39132   2.01109         0         - 0.0263828
    77      16     39148     39132   1.98497         0         - 0.0263828
    78      16     39148     39132   1.95952         0         - 0.0263828
    79      16     39148     39132   1.93472         0         - 0.0263828
2014-11-25 06:23:42.897245min lat: 0.001567 max lat: 10.9162 avg lat: 0.0263828
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     39148     39132   1.91054         0         - 0.0263828
    81      16     39256     39240   1.89216 0.0263672  0.001743 0.0327576
    82      16     39620     39604   1.88642   1.42188   0.00191 0.0330902
    83      16     39878     39862   1.87583   1.00781  0.002121 0.0332963
