   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        16         0         0         0         -         0
     2      16        20         4     7.998         8    1.9285   1.86257
     3      16        23         7   9.33145        12   2.10358   1.94984
     4      16        26        10   9.99819        12  0.800227   1.86555
     5      16        26        10   7.99863         0         -   1.86555
     6      16        30        14   9.33187         8   5.96795   3.01397
     7      16        36        20   11.4268        24   0.98443   3.48217
     8      16        47        31   15.4977        44  0.125015   3.08592
     9      16        51        35   15.5533        16   1.35897   2.85507
    10      16        57        41   16.3976        24  0.118063   2.46605
    11      16        59        43   15.6341         8   8.78183   2.55788
    12      16        59        43   14.3313         0         -   2.55788
    13      16        59        43   13.2289         0         -   2.55788
    14      16        59        43    12.284         0         -   2.55788
    15      16        59        43   11.4651         0         -   2.55788
    16      16        60        44   10.9985       0.8   13.0798   2.79702
    17      16        66        50   11.7631        24  0.140515   2.72228
    18      16        67        51   11.3318         4  0.125378   2.67136
    19      16        73        57   11.9984        24   0.16021   3.04013
2014-11-25 02:21:38.256579min lat: 0.051466 max lat: 13.7596 avg lat: 3.39903
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16        78        62   12.3984        20   12.4919   3.39903
    21      16        78        62    11.808         0         -   3.39903
    22      16        83        67   12.1802        10  0.089248   3.33729
    23      16        83        67   11.6507         0         -   3.33729
    24      16        83        67   11.1652         0         -   3.33729
    25      16        83        67   10.7186         0         -   3.33729
    26      16        83        67   10.3064         0         -   3.33729
    27      16        84        68   10.0728       0.8   20.4542   3.58901
    28      16        84        68   9.71306         0         -   3.58901
    29      16        85        69   9.51604         2   10.1073   3.68348
    30      16        86        70   9.33215         4   19.6695   3.91185
    31      16        96        80   10.3213        40  0.238648   4.43967
    32      16       109        93   11.6235        52  0.098273   3.84086
    33      16       110        94   11.3925         4   25.8599   4.07511
    34      16       112        96   11.2927         8   0.14018   4.06024
    35      16       127       111   12.6841        60  0.162839   4.51643
    36      16       136       120   13.3316        36  0.150692   4.27388
    37      16       148       132   14.2685        48  0.129513   4.17538
    38      16       151       135   14.2087        12   3.19543   4.16656
    39      16       166       150   15.3827        60   2.47581   3.88827
2014-11-25 02:21:58.259021min lat: 0.051466 max lat: 27.5673 avg lat: 3.6638
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       185       169   16.8978        76  0.179816    3.6638
    41      16       197       181   17.6563        48   1.12625   3.53474
    42      16       206       190   18.0929        36   5.35962   3.45005
    43      16       221       205   19.0673        60  0.124437   3.26687
    44      16       232       216   19.6338        44  0.455426   3.17342
    45      16       245       229   20.3529        52  0.939761   3.05348
    46      16       255       239   20.7799        40   1.14516   3.00932
    47      16       269       253   21.5291        56  0.829976   2.89942
    48      16       293       277   23.0804        96  0.730122   2.74427
    49      16       310       294   23.9969        68  0.188424   2.60741
    50      16       323       307   24.5568        52  0.394879   2.52919
    51      16       333       317   24.8595        40   3.16827   2.49564
    52      16       352       336   25.8428        76   1.87503   2.40168
    53      16       352       336   25.3552         0         -   2.40168
    54      16       356       340   25.1819         8   0.19502   2.40627
    55      16       376       360   26.1784        80    0.1868   2.33634
    56      16       388       372    26.568        48  0.051224     2.337
    57      16       395       379    26.593        28   0.05108   2.32917
    58      16       410       394   27.1689        60  0.074467   2.27852
    59      16       427       411   27.8608        68  0.120133   2.23676
2014-11-25 02:22:18.261721min lat: 0.0506 max lat: 27.5673 avg lat: 2.15735
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16       446       430   28.6629        76  0.051464   2.15735
    61      16       459       443   29.0454        52  0.127159   2.12648
    62      16       473       457     29.48        56  0.106924   2.10789
    63      16       485       469   29.7739        48   1.66922   2.07909
    64      16       497       481   30.0586        48   4.52908   2.07189
    65      16       515       499   30.7037        72  0.344031   2.03105
    66      16       532       516   31.2686        68   1.61568   1.99267
    67      16       545       529    31.578        52  0.050754    1.9642
    68      16       565       549   32.2899        80  0.050757   1.91038
    69      16       576       560   32.4595        44  0.153049   1.90093
    70      16       586       570   32.5672        40  0.126201   1.87975
    71      16       599       583   32.8408        52  0.052723   1.89504
    72      16       608       592   32.8846        36   5.42581   1.87827
    73      16       625       609   33.3655        68  0.051502   1.86304
    74      16       628       612   33.0768        12   5.61545   1.87467
    75      16       644       628    33.489        64   0.14312   1.86356
    76      16       645       629    33.101         4  0.127105    1.8608
    77      16       648       632   32.8269        12  0.050937   1.87176
    78      16       663       647   33.1752        60  0.113208   1.86898
    79      16       672       656   33.2109        36  0.101111   1.88463
2014-11-25 02:22:38.264330min lat: 0.050371 max lat: 27.5673 avg lat: 1.89064
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16       677       661   33.0457        20   5.76705   1.89064
    81      16       690       674   33.2796        52  0.505698   1.87155
    82      16       710       694   33.8492        80  0.076166   1.84709
    83      16       717       701   33.7787        28  0.365655   1.83844
    84      16       733       717   34.1384        64  0.051601   1.83436
    85      16       738       722    33.972        20  0.809369   1.82715
    86      16       751       735   34.1816        52  0.411275   1.82572
    87      16       766       750   34.4782        60  0.050899   1.81178
    88      16       779       763   34.6773        52  0.050679   1.80597
    89      16       792       776   34.8718        52   0.58734   1.80221
    90      16       807       791   35.1509        60  0.147696   1.79071
    91      16       813       797   35.0283        24  0.127334    1.7846
