 Maintaining 16 concurrent writes of 524288 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_32718
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       143       127   63.4843      63.5   0.25332  0.114679
     2      16       275       259   64.7372        66  0.053433  0.117933
     3      16       405       389   64.8221        65  0.036655  0.117387
     4      16       408       392   48.9922       1.5   0.17999   0.11802
     5      16       513       497   49.6925      52.5  0.256345   0.15814
     6      16       643       627   52.2424        65  0.288327   0.15007
     7      16       720       704   50.2785      38.5  0.235305  0.148031
     8      16       753       737    46.056      16.5  0.151829  0.158322
     9      16       783       767   42.6052        15  0.030453   0.17829
    10      16       856       840   41.9943      36.5  0.050494  0.184655
    11      16       856       840   38.1767         0         -  0.184655
    12      16       856       840   34.9953         0         -  0.184655
    13      16       856       840   32.3034         0         -  0.184655
    14      16       856       840   29.9961         0         -  0.184655
    15      16       894       878   29.2629       3.8  0.082404  0.272001
    16      16      1029      1013   31.6522      67.5  0.294622  0.250273
    17      16      1147      1131   33.2605        59  0.075439  0.238518
    18      16      1148      1132   31.4405       0.5  0.070838   0.23837
    19      16      1268      1252   32.9432        60  0.057842  0.241682
2014-11-25 12:43:23.196577min lat: 0.027736 max lat: 5.21984 avg lat: 0.233327
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1365      1349   33.7208      48.5  0.066871  0.233327
    21      16      1375      1359   32.3531         5  0.027173  0.234711
    22      16      1497      1481   33.6549        61  0.052137  0.236251
    23      16      1540      1524   33.1263      21.5  0.040226  0.241085
    24      16      1687      1671   34.8081      73.5  0.053521  0.228847
    25      16      1730      1714   34.2757      21.5  0.141465  0.226461
    26      16      1730      1714   32.9574         0         -  0.226461
    27      16      1806      1790    33.144        19  0.034091  0.240638
    28      16      1890      1874   33.4601        42  0.030702  0.235516
    29      16      1899      1883   32.4615       4.5  0.031126  0.238374
    30      16      1920      1904   31.7294      10.5  0.779781  0.244212
    31      16      1920      1904   30.7059         0         -  0.244212
    32      16      2001      1985   31.0118     20.25  0.144137  0.255602
    33      16      2001      1985   30.0721         0         -  0.255602
    34      16      2094      2078   30.5551     23.25  0.129481  0.260196
    35      16      2164      2148    30.682        35  0.031124  0.258694
    36      16      2179      2163    30.038       7.5  0.039562  0.262014
    37      16      2323      2307   31.1719        72  0.056749  0.255964
    38      16      2463      2447   32.1934        70  0.045471  0.247828
    39      16      2490      2474   31.7141      13.5  0.032657  0.246174
2014-11-25 12:43:43.198961min lat: 0.02301 max lat: 5.21984 avg lat: 0.246174
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2490      2474   30.9212         0         -  0.246174
    41      16      2490      2474   30.1671         0         -  0.246174
    42      16      2490      2474   29.4488         0         -  0.246174
