   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       832       816   50.9804        51  0.0020240.00929243
     2      16      2108      2092   65.3579     79.75  0.018615 0.0152408
     3      16      3861      3845   80.0871   109.562  0.003505 0.0124505
     4      16      5583      5567   86.9679   107.625  0.003989 0.0114768
     5      16      7354      7338   91.7089   110.688  0.011584 0.0108884
     6      16      9100      9084   94.6093   109.125  0.015781 0.0105551
     7      16     10830     10814   96.5382   108.125  0.005072 0.0103456
     8      16     12584     12568   98.1723   109.625  0.012306 0.0101764
     9      16     14337     14321   99.4364   109.562  0.015246 0.0100461
    10      16     16071     16055   100.329   108.375  0.0131720.00995966
    11      16     17819     17803   101.139    109.25  0.0036490.00987922
    12      16     19566     19550   101.808   109.188  0.0125080.00981491
 Total time run:        12.652263
Total reads made:     20671
Read size:            65536
Bandwidth (MB/sec):    102.111 

Average Latency:       0.00978945
Max latency:           0.823098
Min latency:           0.001813
