   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        65        49   1.53066   1.53125  0.0017440.00296214
     2      16        65        49  0.765423         0         -0.00296214
     3      16        65        49  0.510305         0         -0.00296214
     4      15      2738      2723   21.2693   27.8542  0.004771 0.0234871
     5      16      5422      5406   33.7812   83.8438  0.001503 0.0141007
     6      16      5749      5733   29.8542   10.2188  0.001894 0.0162211
     7      15      8442      8427   37.6143   84.1875  0.002494 0.0132844
     8      15     11918     11903   46.4887   108.625  0.002907 0.0107483
     9      16     15412     15396   53.4499   109.156  0.0025320.00934488
    10      15     18928     18913    59.094   109.906  0.0080840.00845699
    11      15     22366     22351   63.4875   107.438  0.0035710.00787123
    12      16     25877     25861   67.3363   109.688  0.0024550.00742178
    13      16     29396     29380   70.6139   109.969  0.0055720.00707747
    14      16     32876     32860   73.3369    108.75  0.004706 0.0068145
    15      16     36394     36378    75.776   109.938  0.0020760.00659483
    16      15     39924     39909   77.9355   110.344  0.0062070.00641279
    17      16     43465     43449   79.8576   110.625  0.0028560.00625851
    18      16     46979     46963    81.521   109.812  0.0021480.00613067
    19      16     50501     50485   83.0224   110.062  0.0068670.00601982
2014-11-25 17:17:47.018644min lat: 0.001377 max lat: 3.01235 avg lat: 0.00592767
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     53984     53968   84.3128   108.844  0.0027650.00592767
    21      16     57495     57479   85.5219   109.719  0.006538 0.0058443
    22      16     61028     61012   86.6523   110.406  0.0058940.00576775
    23      16     64524     64508   87.6342    109.25  0.0030670.00570311
    24      15     68032     68017   88.5512   109.656  0.0023880.00564366
    25      16     71563     71547   89.4211   110.312  0.005499 0.0055893
    26      15     75065     75050   90.1917   109.469   0.007940.00554143
    27      16     78578     78562   90.9156    109.75  0.0063290.00549742
 Total time run:        27.108882
Total reads made:     78936
Read size:            32768
Bandwidth (MB/sec):    90.994 

Average Latency:       0.00549317
Max latency:           3.01235
Min latency:           0.001377
