   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        29        13   51.9779        52  0.939169  0.410831
     2      16        54        38   75.9772       100  0.319349  0.397103
     3      16        72        56   74.6485        72   1.53482  0.624227
     4      16        95        79   78.9828        92  0.092488  0.718892
     5      16       122       106   84.7829       108  0.379447  0.690831
     6      16       150       134   89.3163       112   0.73133  0.668609
     7      16       178       162   92.5545       112   1.02128  0.649046
     8      16       207       191   95.4831       116  0.125207  0.633122
     9      16       235       219   97.3165       112  0.407847  0.629818
    10      16       263       247   98.7832       112  0.844158  0.621716
    11      16       291       275   99.9832       112  0.787514  0.615522
    12      16       320       304   101.316       116   1.31682  0.609405
    13      16       348       332   102.137       112   1.65199  0.601058
    14      16       375       359   102.555       108  0.764269   0.60151
    15      16       403       387   103.184       112   1.15976  0.605023
    16      16       430       414   103.484       108  0.847702  0.598999
    17      16       459       443   104.219       116  0.235163  0.593029
    18      16       487       471    104.65       112   1.62689  0.591546
    19      16       513       497   104.615       104  0.135243  0.591994
2014-11-26 01:01:38.948195min lat: 0.05094 max lat: 2.49648 avg lat: 0.589749
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       542       526   105.184       116  0.490562  0.589749
    21      16       571       555   105.698       116    1.6485  0.590271
    22      16       599       583   105.984       112  0.430485  0.588641
    23      16       626       610   106.071       108  0.961302     0.588
    24      16       654       638   106.318       112  0.476621  0.591616
    25      16       683       667   106.704       116  0.259552  0.590685
    26      16       710       694   106.754       108   0.39058   0.59103
    27      16       738       722   106.947       112   1.29592  0.588221
    28      16       766       750   107.127       112   1.59575  0.586245
    29      16       795       779   107.433       116  0.316384  0.585431
    30      16       824       808   107.718       116  0.529317  0.587982
    31      16       850       834   107.597       104  0.360971   0.58532
    32      16       878       862   107.735       112   1.23301  0.586459
    33      16       907       891   107.985       116   1.16745  0.586874
    34      16       935       919   108.103       112   1.03236  0.585758
    35      16       963       947   108.214       112  0.297278   0.58555
    36      16       989       973   108.096       104  0.106715  0.581359
    37      16      1020      1004   108.526       124  0.854207  0.582324
    38      16      1046      1030   108.406       104  0.199241  0.581808
    39      16      1073      1057   108.396       108  0.079636  0.583063
2014-11-26 01:01:58.950532min lat: 0.05094 max lat: 2.49648 avg lat: 0.581272
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
