   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1789      1773   110.758   110.812  0.003628  0.008967
     2      16      3561      3545   110.745    110.75  0.0051650.00898561
     3      16      5333      5317   110.742    110.75  0.0080060.00900642
     4      16      6186      6170   96.3845   53.3125  0.0017560.00879181
     5      16      6186      6170   77.1093         0         -0.00879181
     6      15      7687      7672    79.902   46.9375  0.004082 0.0124971
     7      16      9449      9433   84.2085   110.062    0.0027  0.011862
     8      16     11209     11193   87.4307       110  0.008594 0.0114281
     9      16     12971     12955   89.9507   110.125  0.013194 0.0111085
    10      16     14749     14733   92.0667   111.125  0.005289 0.0108527
    11      16     16465     16449   93.4457    107.25  0.012119 0.0106947
    12      16     18191     18175   94.6471   107.875   0.01539 0.0105589
    13      16     19912     19896   95.6394   107.562  0.042987 0.0104411
    14      16     21636     21620   96.5035    107.75  0.036737 0.0103526
    15      16     23355     23339   97.2316   107.438  0.007719 0.0102774
    16      16     25138     25122   98.1187   111.438  0.003192 0.0101855
    17      16     26917     26901   98.8866   111.188  0.014876  0.010107
    18      16     28685     28669    99.531     110.5  0.005646 0.0100421
    19      16     30464     30448   100.144   111.188  0.0079880.00998139
2014-11-24 22:13:12.252471min lat: 0.00169 max lat: 1.87689 avg lat: 0.00992473
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     32247     32231   100.708   111.438  0.0037940.00992473
    21      16     34010     33994   101.159   110.188  0.0073730.00988136
    22      16     35779     35763   101.585   110.562  0.0101390.00983994
    23      15     37562     37547   102.016     111.5  0.0186550.00979786
    24      15     39332     39317   102.374   110.625   0.004120.00976366
    25      16     41112     41096   102.726   111.188   0.006580.00973043
    26      16     42896     42880   103.063     111.5  0.0188410.00969908
    27      15     44668     44653   103.349   110.812  0.0043850.00967185
    28      16     46445     46429   103.622       111   0.006430.00964625
    29      16     48220     48204   103.874   110.938  0.0147240.00962361
    30      16     49859     49843   103.826   102.438  0.0147880.00962827
    31      16     51637     51621   104.061   111.125  0.0061740.00960624
    32      16     53416     53400   104.283   111.188  0.0041070.00958527
    33      16     55186     55170   104.475   110.625  0.0125650.00956867
    34      16     56961     56945   104.665   110.938  0.0032240.00955071
    35      16     58738     58722   104.847   111.062  0.0034910.00953366
    36      15     60504     60489   105.002   110.438  0.0045640.00951998
    37      16     62280     62264   105.162   110.938  0.0196590.00950574
    38      16     64055     64039   105.314   110.938  0.0033750.00949227
    39      16     64880     64864   103.935   51.5625  0.0018450.00948622
2014-11-24 22:13:32.254894min lat: 0.00169 max lat: 1.87689 avg lat: 0.00965602
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     65921     65905   102.963   65.0625  0.0019910.00965602
    41      16     65921     65905   100.452         0         -0.00965602
    42      16     66746     66730   99.2878   25.7812  0.002971 0.0100688
    43      16     68392     68376   99.3709   102.875  0.001999 0.0100415
    44      16     68863     68847   97.7815   29.4375   0.00869 0.0100889
    45      16     69169     69153   96.0335    19.125  0.001802 0.0103832
    46      16     69530     69514   94.4363   22.5625  0.002005 0.0105841
    47      15     70323     70308   93.4828    49.625    0.0028 0.0106938
    48      16     70934     70918   92.3294    38.125  0.015731 0.0108278
    49      16     71557     71541   91.2397   38.9375  0.015236 0.0109573
    50      16     72589     72573   90.7047      64.5   0.00225 0.0109544
 Total time run:        50.454959
Total reads made:     73003
Read size:            65536
Bandwidth (MB/sec):    90.431 

Average Latency:       0.0110562
Max latency:           1.87689
Min latency:           0.00169
