   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        41        25  0.390523  0.390625   0.001240.00256932
     2      16      4341      4325   33.7827   67.1875  0.0039690.00739139
     3      15      9913      9898   51.5433   87.0781   0.002380.00484481
     4      15     12525     12510   48.8594   40.8125  0.0039930.00511163
     5      16     16554     16538   51.6735   62.9375  0.0025240.00483374
     6      15     20026     20011   52.1044   54.2656  0.0038180.00479468
     7      16     22758     22742   50.7562   42.6719  0.0048450.00492211
     8      16     24384     24368   47.5871   25.4062  0.0011830.00515106
     9      15     25359     25344    43.994     15.25  0.0031390.00567942
    10      15     27478     27463   42.9051   33.1094   0.001640.00582349
    11      16     28303     28287    40.175    12.875  0.0021160.00615054
    12      16     30276     30260   39.3958   30.8281  0.0012640.00626996
    13      16     32395     32379   38.9119   33.1094   0.001710.00635616
    14      16     33218     33202    37.051   12.8594  0.0012650.00670383
 Total time run:        14.210885
Total reads made:     33915
Read size:            16384
Bandwidth (MB/sec):    37.290 

Average Latency:       0.00670224
Max latency:           1.09334
Min latency:           0.001002
