   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2474      2458   76.7928   76.8125  0.008515 0.0064862
     2      16      4874      4858   75.8905        75  0.0016460.00656299
     3      16      7415      7399   77.0591   79.4062  0.002932 0.0064827
     4      16      9910      9894   77.2843   77.9688  0.0043950.00646386
     5      16     12405     12389   77.4193   77.9688   0.002470.00645055
     6      16     14970     14954   77.8739   80.1562   0.001540.00641326
     7      15     17465     17450   77.8906        78  0.0017490.00640784
     8      16     19914     19898   77.7156      76.5  0.0037530.00642778
     9      16     22537     22521   78.1868   81.9688  0.0021060.00639126
    10      16     25099     25083   78.3735   80.0625  0.0045310.00637656
    11      15     27980     27965   79.4351   90.0625  0.0018060.00629091
    12      16     30800     30784   80.1558   88.0938  0.0069840.00623503
    13      16     33810     33794   81.2247   94.0625  0.0047730.00615292
    14      16     36734     36718   81.9489    91.375  0.0026650.00609776
    15      15     39689     39674   82.6433    92.375  0.0050670.00604776
    16      16     42595     42579   83.1508   90.7812  0.0039790.00601066
    17      16     45458     45442   83.5217   89.4688  0.0046670.00598398
    18      16     46834     46818   81.2703        43   0.001440.00597079
    19      16     47966     47950   78.8546    35.375  0.0016230.00629695
2014-11-23 13:35:17.897660min lat: 0.001299 max lat: 1.02035 avg lat: 0.00633958
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     50480     50464   78.8395   78.5625  0.0051330.00633958
    21      16     53309     53293   79.2945   88.4062  0.0077110.00630297
    22      16     56295     56279   79.9312   93.3125  0.004523 0.0062533
 Total time run:        22.568146
Total reads made:     58003
Read size:            32768
Bandwidth (MB/sec):    80.316 

Average Latency:       0.00622374
Max latency:           1.02035
Min latency:           0.001299
