   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       995       979   61.1636   61.1875    0.0038 0.0150664
     2      16      2137      2121   66.2634    71.375  0.003304 0.0147416
     3      16      3457      3441   71.6717      82.5  0.004261 0.0135977
     4      16      4815      4799   74.9678    84.875  0.037599 0.0132866
     5      16      6126      6110   76.3597   81.9375   0.00438 0.0129792
     6      16      7184      7168   74.6527    66.125  0.003237 0.0133363
     7      15      8934      8919   79.6198   109.438  0.003324 0.0125448
     8      16     10711     10695   83.5404       111  0.004363 0.0119596
     9      16     12471     12455   86.4787       110  0.002541 0.0115536
    10      16     14239     14223   88.8792     110.5  0.007321 0.0112426
    11      16     15997     15981   90.7867   109.875   0.00324 0.0110056
    12      16     17763     17747   92.4178   110.375  0.002751 0.0108116
    13      16     19501     19485   93.6635   108.625  0.005015 0.0106706
    14      16     21236     21220   94.7178   108.438  0.005182  0.010551
    15      16     23004     22988    95.769     110.5  0.013412  0.010435
    16      16     24767     24751   96.6693   110.188  0.003353  0.010337
    17      16     26539     26523   97.4967    110.75  0.003937 0.0102512
    18      16     28255     28239   98.0378    107.25  0.002904 0.0101946
    19      16     30019     30003   98.6799    110.25  0.013489 0.0101288
2014-11-25 20:24:40.715857min lat: 0.001716 max lat: 0.434628 avg lat: 0.0100701
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     31774     31758   99.2296   109.688  0.011513 0.0100701
    21      16     33543     33527   99.7685   110.562  0.011665 0.0100184
    22      16     35296     35280   100.213   109.562  0.007262 0.0099745
    23      16     37052     37036   100.627    109.75  0.0059790.00993223
    24      16     38826     38810   101.054   110.875  0.0065020.00989089
    25      16     40567     40551   101.363   108.812  0.005732 0.0098604
    26      16     42346     42330   101.741   111.188  0.0093770.00982533
    27      16     44127     44111   102.095   111.312  0.016926  0.009791
    28      16     45888     45872   102.379   110.062  0.0041510.00976315
    29      16     47652     47636    102.65    110.25  0.0038220.00973796
    30      16     49434     49418    102.94   111.375  0.0082930.00971085
    31      16     51201     51185   103.182   110.438  0.0049110.00968818
    32      16     52971     52955   103.414   110.625  0.011627  0.009667
    33      16     54748     54732   103.645   111.062  0.0030030.00964491
 Total time run:        33.094394
Total reads made:     54886
Read size:            65536
Bandwidth (MB/sec):    103.654 

Average Latency:       0.0096457
Max latency:           0.434628
Min latency:           0.001716
