   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        69        53   105.966       106  0.458155  0.236541
     2      16       124       108   107.974       110  0.415177  0.264678
     3      16       179       163   108.644       110  0.513581  0.262837
     4      16       232       216   107.979       106  0.028385  0.274683
     5      16       288       272   108.781       112  0.026704   0.27984
     6      16       343       327   108.981       110  0.515721  0.282975
     7      16       398       382   109.125       110  0.028288  0.276474
     8      16       454       438   109.482       112  0.041198  0.281001
     9      16       509       493   109.538       110  0.537575  0.284785
    10      16       563       547   109.382       108  0.396908  0.286197
    11      16       619       603   109.619       112  0.040033  0.284312
    12      16       674       658    109.65       110  0.028431  0.284364
    13      16       729       713   109.675       110  0.075851  0.286786
    14      16       784       768   109.697       110  0.029982   0.28609
    15      16       838       822   109.583       108  0.028208  0.287112
    16      16       894       878   109.733       112  0.109805  0.287177
    17      16       949       933   109.748       110  0.584669  0.287388
    18      16      1004       988   109.761       110  0.588055  0.286761
    19      16      1059      1043   109.773       110  0.493825  0.287289
2014-11-23 11:17:15.558463min lat: 0.026704 max lat: 1.04971 avg lat: 0.287325
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1115      1099   109.884       112  0.028369  0.287325
    21      16      1171      1155   109.983       112  0.040896  0.286943
    22      16      1225      1209   109.893       108  0.509767  0.287464
    23      16      1280      1264   109.897       110  0.042927  0.288076
    24      16      1336      1320   109.984       112  0.041456  0.287779
    25      16      1391      1375   109.984       110  0.032768  0.288308
    26      16      1446      1430   109.984       110  0.029791  0.287298
    27      16      1503      1487   110.132       114   0.52282  0.288113
    28      16      1557      1541   110.055       108  0.774793  0.286959
    29      16      1613      1597   110.122       112   0.02848  0.288129
    30      15      1668      1653   110.184       112  0.402697  0.288752
    31      16      1723      1707   110.113       108  0.616763  0.287854
    32      16      1778      1762   110.109       110  0.027987   0.28855
    33      16      1835      1819   110.226       114   0.53503  0.287921
    34      16      1888      1872   110.102       106  0.056061   0.28838
    35      16      1944      1928   110.156       112  0.028441  0.288022
    36      16      2000      1984   110.206       112   0.46406  0.288524
    37      16      2054      2038   110.146       108  0.506186  0.288776
    38      16      2110      2094   110.195       112  0.482198  0.288605
    39      16      2166      2150   110.241       112  0.524556  0.288432
2014-11-23 11:17:35.561212min lat: 0.026704 max lat: 1.04971 avg lat: 0.288933
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2220      2204   110.184       108   0.43685  0.288933
    41      16      2276      2260   110.228       112  0.027721  0.288658
    42      16      2331      2315   110.222       110  0.028025  0.288405
    43      16      2386      2370   110.217       110  0.039652  0.288619
    44      16      2442      2426   110.257       112  0.042215  0.288346
    45      16      2497      2481   110.251       110  0.630635  0.288393
    46      16      2552      2536   110.245       110  0.375282  0.289128
    47      16      2607      2591    110.24       110  0.602384   0.28856
    48      16      2663      2647   110.276       112  0.558691  0.288382
    49      16      2717      2701   110.229       108  0.466625  0.288985
    50      16      2773      2757   110.264       112  0.547401   0.28866
    51      16      2828      2812   110.259       110   0.54008  0.289149
    52      16      2884      2868   110.292       112  0.495095  0.288827
    53      16      2939      2923   110.286       110  0.031033  0.289116
    54      16      2995      2979   110.318       112  0.028521  0.288422
    55      16      3051      3035   110.348       112  0.027737  0.288579
    56      16      3106      3090   110.341       110  0.028295  0.288443
    57      16      3163      3147   110.405       114  0.445736  0.288736
    58      16      3219      3203   110.433       112  0.028268   0.28838
    59      16      3275      3259   110.459       112  0.518066  0.288595
2014-11-23 11:17:55.563986min lat: 0.02666 max lat: 1.04971 avg lat: 0.28901
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      3328      3312   110.384       106  0.401538   0.28901
    61      16      3385      3369   110.443       114  0.603087  0.288313
    62      16      3441      3425   110.468       112  0.491712  0.288784
    63      16      3495      3479   110.429       108  0.480026  0.288781
    64      16      3551      3535   110.453       112  0.668212  0.288682
    65      16      3606      3590   110.446       110  0.841321  0.288292
    66      16      3661      3645   110.439       110  0.535605  0.288719
 Total time run:        66.533990
Total reads made:     3674
Read size:            2097152
Bandwidth (MB/sec):    110.440 

Average Latency:       0.289348
Max latency:           1.04971
Min latency:           0.02666
