   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2666      2650   82.7897   82.8125  0.0045740.00601902
     2      15      6202      6187   96.6471   110.531  0.0062030.00516338
     3      16      9476      9460   98.5207   102.281  0.0017630.00491375
     4      15     10867     10852   84.7653      43.5  0.0016830.00588738
     5      16     12727     12711   79.4299   58.0938  0.0013880.00618306
     6      16     14520     14504   75.5292   56.0312  0.0013740.00656101
     7      16     15761     15745   70.2791   38.7812  0.0018040.00700568
     8      16     16641     16625   64.9315      27.5  0.0013770.00765314
     9      16     18835     18819    65.334   68.5625  0.0022280.00764834
    10      15     22363     22348   69.8273   110.281  0.0042610.00715576
    11      16     25418     25402   72.1544   95.4375  0.0072570.00692654
    12      16     28512     28496   74.1978   96.6875    0.00250.00673561
    13      16     31686     31670   76.1192   99.1875  0.002225 0.0065652
    14      16     35031     35015   78.1477   104.531  0.0028010.00639376
    15      16     38492     38476   80.1474   108.156  0.0065550.00623546
    16      16     41818     41802   81.6334   103.938  0.0025160.00612228
    17      16     45211     45195   83.0678   106.031  0.008248 0.0060166
    18      16     48729     48713   84.5598   109.938  0.0050610.00591071
    19      15     52266     52251   85.9276   110.562  0.0021910.00581625
2014-11-25 22:58:04.277314min lat: 0.001288 max lat: 0.474748 avg lat: 0.0057342
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     55806     55790   87.1602   110.594  0.006179 0.0057342
    21      15     59344     59329   88.2754   110.594  0.0055230.00566198
    22      16     62895     62879   89.3049   110.938  0.0030370.00559663
    23      16     66425     66409   90.2177   110.312   0.006510.00553988
    24      15     69967     69952   91.0713   110.719  0.002381 0.0054881
    25      16     73509     73493   91.8542   110.656  0.0071990.00544135
    26      16     77056     77040    92.584   110.844  0.0065030.00539851
    27      15     80596     80581   93.2529   110.656  0.0021370.00535957
    28      16     84136     84120   93.8717   110.594  0.0029230.00532446
    29      16     87674     87658   94.4468   110.562  0.0048770.00529198
    30      16     91211     91195   94.9825   110.531  0.0045210.00526202
    31      16     94756     94740   95.4917   110.781    0.00280.00523414
    32      16     98301     98285   95.9691   110.781  0.0019620.00520801
    33      16    101839    101823   96.4109   110.562  0.0050190.00518429
    34      16    105388    105372   96.8368   110.906  0.0025520.00516146
    35      16    108932    108916    97.234    110.75  0.0078870.00514037
    36      16    112475    112459   97.6079   110.719  0.0069710.00512072
    37      16    116003    115987   97.9492    110.25  0.003117 0.0051027
    38      16    119555    119539   98.2923       111  0.0029140.00508507
    39      16    123098    123082   98.6106   110.719  0.0022140.00506863
2014-11-25 22:58:24.279821min lat: 0.001288 max lat: 0.474748 avg lat: 0.00505286
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16    126646    126630   98.9169   110.875  0.0069460.00505286
    41      15    130190    130175   99.2059   110.781  0.0098960.00503823
    42      16    133730    133714   99.4767   110.594  0.0032630.00502446
    43      16    137282    137266   99.7444       111   0.004030.00501109
    44      15    140798    140783    99.975   109.906  0.0027760.00499935
    45      16    144352    144336    100.22   111.031  0.002252 0.0049873
    46      15    147902    147887   100.454   110.969  0.0052510.00497572
    47      16    151432    151416   100.663   110.281  0.0034120.00496538
    48      16    154973    154957   100.871   110.656  0.002454 0.0049551
    49      16    158514    158498    101.07   110.656   0.002950.00494537
    50      16    162046    162030   101.256   110.375  0.003066 0.0049363
    51      16    165583    165567   101.437   110.531  0.0042910.00492751
 Total time run:        51.088462
Total reads made:     165859
Read size:            32768
Bandwidth (MB/sec):    101.453 

Average Latency:       0.00492691
Max latency:           0.474748
Min latency:           0.001288
