   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       836       820   25.6178    25.625  0.566138 0.0120122
     2      16      2524      2508   39.1791     52.75  0.001505 0.0117538
     3      16      5011      4995   52.0217   77.7188  0.0038130.00960045
     4      15      8558      8543   66.7308   110.875  0.0047120.00748398
     5      15     10443     10428   65.1645   58.9062  0.4751870.00703348
     6      16     12431     12415   64.6514   62.0938  0.0041760.00772795
     7      16     14809     14793   66.0302   74.3125  0.0022820.00756716
     8      16     18329     18313   71.5246       110   0.003420.00698603
     9      16     20675     20659   71.7222   73.3125  0.0039740.00696782
    10      16     23934     23918   74.7331   101.844  0.0014710.00666679
    11      15     25884     25869   73.4811   60.9688  0.0051220.00680115
    12      15     29186     29171   75.9555   103.188   0.007680.00657926
    13      16     32354     32338   77.7248   98.9688  0.0129840.00642981
    14      16     35071     35055    78.237   84.9062   0.001510.00636931
    15      16     38053     38037   79.2329   93.1875  0.0032490.00630815
    16      16     39965     39949   78.0148     59.75  0.0059830.00640652
    17      16     43508     43492   79.9378   110.719  0.0030210.00625226
    18      16     46315     46299   80.3694   87.7188  0.0077660.00621874
    19      15     49782     49767   81.8427   108.375  0.0030880.00610674
2014-11-25 22:51:44.712802min lat: 0.001274 max lat: 0.854882 avg lat: 0.00613651
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     52017     52001   81.2407   69.8125  0.0014410.00613651
    21      15     54205     54190   80.6291   68.4062  0.003827 0.0061991
    22      16     57720     57704    81.955   109.812  0.0043710.00609874
    23      16     61266     61250   83.2091   110.812  0.0090850.00600676
    24      16     64807     64791   84.3521   110.656  0.008713 0.0059253
    25      16     68349     68333   85.4049   110.688  0.0038930.00585232
    26      16     71885     71869   86.3683     110.5  0.0028270.00578694
    27      15     75421     75406   87.2627   110.531  0.005748 0.0057278
    28      15     78962     78947   88.0976   110.656  0.0028080.00567348
    29      16     82504     82488    88.875   110.656  0.0025790.00562389
    30      16     86048     86032   89.6038    110.75  0.006944 0.0055782
    31      16     89587     89571   90.2804   110.594  0.0031880.00553632
    32      16     93130     93114   90.9187   110.719   0.003950.00549758
    33      16     96652     96636   91.4983   110.062  0.002507 0.0054627
    34      16    100195    100179   92.0632   110.719  0.0061350.00542922
    35      15    103743    103728   92.6012   110.906  0.0029890.00539767
    36      15    107288    107273   93.1058   110.781  0.0051470.00536839
    37      16    110683    110667   93.4556   106.062  0.0024950.00534823
    38      16    114223    114207   93.9071   110.625  0.0065630.00532261
    39      16    117767    117751   94.3386    110.75  0.0029280.00529825
2014-11-25 22:52:04.715681min lat: 0.001274 max lat: 0.854882 avg lat: 0.00527637
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      15    121288    121273   94.7314   110.062  0.0070050.00527637
    41      16    124820    124804   95.1118   110.344  0.0069450.00525517
    42      16    128366    128350   95.4853   110.812  0.0024890.00523461
    43      16    131906    131890    95.837   110.625  0.0062450.00521542
    44      16    135452    135436   96.1771   110.812  0.0033960.00519701
    45      16    139000    138984   96.5034   110.875  0.0037350.00517943
    46      16    142533    142517   96.8053   110.406   0.004160.00516328
    47      16    146031    146015   97.0711   109.312  0.0070750.00514915
    48      15    149538    149523   97.3323   109.625  0.0026060.00513538
    49      16    153055    153039    97.588   109.875  0.0023680.00512187
    50      16    156596    156580   97.8491   110.656  0.0046270.00510824
 Total time run:        50.344771
Total reads made:     157778
Read size:            32768
Bandwidth (MB/sec):    97.936 

Average Latency:       0.00510392
Max latency:           0.854882
Min latency:           0.001274
