   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1826      1810   7.06843   7.07031  0.0015450.00270603
     2      15      2884      2869   5.60237   4.13672  0.003641 0.0111398
     3      16      8704      8688   11.3103   22.7305  0.0019150.00552025
     4      16     14160     14144     13.81   21.3125  0.0015620.00444342
     5      16     17882     17866   13.9555   14.5391   0.001350.00447429
     6      16     23780     23764   15.4689   23.0391  0.004857 0.0040371
     7      15     29663     29648   16.5421   22.9844  0.0018740.00377479
     8      15     35448     35433   17.2987   22.5977  0.0028240.00361023
     9      15     41451     41436   17.9817   23.4492  0.0015020.00347311
    10      15     47710     47695   18.6281   24.4492  0.001714 0.0033527
    11      15     53750     53735   19.0792   23.5938  0.0017790.00327349
    12      15     59957     59942   19.5095   24.2461   0.001310.00320131
    13      15     66415     66400   19.9491   25.2266  0.0024170.00313068
    14      15     72907     72892   20.3353   25.3594  0.0017820.00307134
    15      16     79471     79455   20.6885   25.6367  0.0024420.00301889
    16      15     85900     85885   20.9651   25.1172  0.0067170.00297897
    17      15     92556     92541   21.2611        26  0.0015580.00293764
    18      15     98781     98766   21.4307   24.3164  0.0022710.00291427
    19      16    104954    104938   21.5715   24.1094  0.0023130.00289531
2014-11-25 22:15:49.795510min lat: 0.001001 max lat: 0.781276 avg lat: 0.00287265
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15    111349    111334    21.742   24.9844  0.0013110.00287265
    21      16    117798    117782   21.9059   25.1875  0.0023680.00285101
    22      15    124370    124355   22.0771   25.6758  0.0020890.00282903
    23      16    131033    131017   22.2485   26.0234  0.0041530.00280724
    24      15    137424    137409   22.3617   24.9688  0.0016580.00279302
    25      16    143972    143956   22.4901   25.5742  0.0016520.00277712
    26      16    150322    150306    22.579   24.8047  0.0030680.00276613
    27      16    156596    156580   22.6503   24.5078  0.0025390.00275739
    28      15    163104    163089   22.7493   25.4258  0.002344 0.0027454
    29      15    169558    169543   22.8341   25.2109  0.0014890.00273524
 Total time run:        29.792967
Total reads made:     174723
Read size:            4096
Bandwidth (MB/sec):    22.908 

Average Latency:       0.00272648
Max latency:           0.781276
Min latency:           0.000972
