   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2361      2345   9.15775   9.16016  0.0011870.00540862
     2      16      8518      8502   16.6021   24.0508  0.0011350.00368274
     3      15      8874      8859   11.5331   1.39453  0.0016710.00541473
     4      16     15451     15435   15.0708   25.6875   0.001080.00411092
     5      16     19323     19307   15.0809    15.125  0.0030340.00413907
     6      16     23395     23379   15.2182   15.9062  0.0013310.00401612
     7      16     30193     30177   16.8372   26.5547  0.001393 0.0037089
     8      15     37291     37276   18.1982   27.7305  0.0021820.00343201
     9      15     44158     44143   19.1563   26.8242  0.0024270.00326044
    10      15     50595     50580   19.7548   25.1445  0.0019620.00316153
    11      15     57337     57322   20.3527   26.3359  0.0028220.00306859
    12      16     63956     63940   20.8107   25.8516   0.001750.00300129
    13      15     70631     70616   21.2156   26.0781  0.0028070.00294395
    14      16     77372     77356   21.5806   26.3281   0.002460.00289416
    15      15     83849     83834   21.8287   25.3047  0.002232 0.0028613
    16      16     90792     90776    22.159   27.1172  0.0014810.00281853
    17      15     97912     97897   22.4916   27.8164  0.0019390.00277698
    18      15    104526    104511   22.6772   25.8359  0.0037930.00275421
    19      16    111541    111525   22.9255   27.3984  0.0034750.00272436
2014-11-25 22:21:49.703151min lat: 0.000941 max lat: 0.685999 avg lat: 0.00270032
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15    118457    118442     23.13   27.0195  0.0029580.00270032
    21      15    125185    125170   23.2799   26.2812  0.0013650.00268296
    22      15    131784    131769   23.3933   25.7773  0.0031540.00266988
    23      16    138625    138609   23.5377   26.7188  0.0035610.00265353
    24      16    145774    145758   23.7204   27.9258  0.0040250.00263301
    25      15    152706    152691   23.8547    27.082  0.0017870.00261829
    26      16    159734    159718   23.9928   27.4492   0.002680.00260322
 Total time run:        26.655459
Total reads made:     163820
Read size:            4096
Bandwidth (MB/sec):    24.007 

Average Latency:       0.00260175
Max latency:           0.685999
Min latency:           0.000941
