1, 1048576, 88.182 
1, 131072, 44.397 
1, 16384, 7.004 
1, 2097152, 108.178 
1, 262144, 56.988 
1, 32768, 13.690 
1, 4096, 2.005 
1, 4194304, 108.437 
1, 524288, 68.809 
1, 65536, 23.883 
1, 8192, 3.693 
2, 1048576, 42.931 
2, 131072, 18.164 
2, 16384, 4.266 
2, 2097152, 70.969 
2, 262144, 28.328 
2, 32768, 8.197 
2, 4096, 1.547 
2, 4194304, 82.201 
2, 524288, 36.463 
2, 65536, 14.791 
2, 8192, 1.858 
3, 1048576, 34.804 
3, 131072, 13.614 
3, 16384, 5.916 
3, 2097152, 43.827 
3, 262144, 19.840 
3, 32768, 10.184 
3, 4096, 1.881 
3, 4194304, 46.816 
3, 524288, 22.732 
3, 65536, 15.783 
3, 8192, 3.415 
