   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      5318      5303   20.7088   20.7148  0.0029250.00301166
     2      15     10433     10418   20.3431   19.9805    0.00210.00293929
     3      16     12741     12725   16.5657   9.01172   0.003330.00376865
     4      16     18866     18850   18.4042   23.9258  0.0016670.00339251
     5      16     23892     23876   18.6494   19.6328  0.001162 0.0033459
     6      16     27873     27857   18.1327   15.5508  0.0011410.00340816
     7      15     31232     31217   17.4171    13.125  0.0034720.00358565
     8      16     34190     34174   16.6837   11.5508   0.001210.00368053
     9      16     37388     37372   16.2178   12.4922  0.0011670.00381363
    10      15     39604     39589    15.462   8.66016  0.0025650.00403985
    11      15     41997     41982    14.906   9.34766  0.0030730.00419062
 Total time run:        11.318708
Total reads made:     42363
Read size:            4096
Bandwidth (MB/sec):    14.620 

Average Latency:       0.00427302
Max latency:           0.551086
Min latency:           0.000892
