   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       397       381   1.48788   1.48828  0.0012430.00223842
     2      15      5197      5182   10.1189   18.7539  0.0021950.00616911
     3      15     11829     11814   15.3797   25.9062  0.0046030.00405976
     4      16     18399     18383   17.9489   25.6602  0.0020580.00347844
     5      16     24886     24870   19.4264   25.3398  0.0028170.00321457
     6      16     27381     27365   17.8129   9.74609  0.0011680.00314529
     7      16     27381     27365   15.2683         0         -0.00314529
     8      15     32317     32302   15.7701   9.64258   0.003390.00396073
     9      16     38876     38860   16.8638   25.6172  0.0020590.00370382
    10      16     45491     45475   17.7611   25.8398  0.0031450.00351667
    11      15     51919     51904   18.4292   25.1133  0.003085 0.0033892
    12      16     58417     58401   19.0081   25.3789  0.001395 0.0032859
    13      16     65055     65039   19.5403   25.9297  0.0032740.00319646
    14      15     71656     71641   19.9864   25.7891  0.0013530.00312512
 Total time run:        14.783473
Total reads made:     76674
Read size:            4096
Bandwidth (MB/sec):    20.260 

Average Latency:       0.00308318
Max latency:           1.86656
Min latency:           0.000985
