   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      5169      5154   20.1278   20.1328  0.0027750.00309742
     2      15     11055     11040   21.5583   22.9922  0.0023570.00289472
     3      16     16915     16899   22.0002   22.8867  0.0020070.00283747
     4      16     20096     20080   19.6063   12.4258  0.0011810.00282654
     5      15     21997     21982   17.1708   7.42969  0.0051040.00363639
     6      16     27245     27229   17.7246   20.4961  0.0030480.00352357
     7      16     32583     32567   18.1709   20.8516  0.0016850.00343684
     8      16     38051     38035   18.5691   21.3594  0.0024560.00336324
     9      15     43980     43965   19.0794   23.1641  0.0017550.00327348
    10      16     49787     49771   19.4391   22.6797  0.0021110.00321287
    11      16     55410     55394   19.6685   21.9648  0.0039630.00317543
    12      16     60700     60684   19.7513   20.6641  0.0030340.00316223
    13      15     66592     66577   20.0024   23.0195  0.0045970.00312242
    14      16     72506     72490   20.2233   23.0977  0.0028220.00308854
    15      16     78371     78355   20.4023   22.9102  0.0033190.00306138
    16      16     84209     84193   20.5522   22.8047  0.0030350.00303906
 Total time run:        16.071216
Total reads made:     84614
Read size:            4096
Bandwidth (MB/sec):    20.566 

Average Latency:       0.00303726
Max latency:           1.13819
Min latency:           0.00099
