   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      4740      4724   18.4481   18.4531  0.002476 0.0033797
     2      16     10694     10678    20.851   23.2578  0.0025960.00299331
     3      16     16708     16692   21.7304   23.4922  0.003092 0.0028726
     4      16     22687     22671    22.136   23.3555  0.001605 0.0028201
     5      16     25518     25502   19.9203   11.0586  0.0012040.00280743
     6      16     28125     28109   18.2974   10.1836  0.0022290.00341319
     7      16     33854     33838   18.8801   22.3789  0.0036750.00330772
     8      15     39623     39608   19.3371   22.5391  0.0028540.00322992
     9      16     45609     45593   19.7859   23.3789  0.0033470.00315655
    10      16     51549     51533   20.1273   23.2031  0.0021610.00310321
    11      15     57376     57361   20.3669   22.7656  0.0039820.00306659
    12      16     62866     62850   20.4563   21.4414  0.0033510.00305313
    13      15     68354     68339   20.5319   21.4414  0.0019130.00304206
 Total time run:        13.496815
Total reads made:     71191
Read size:            4096
Bandwidth (MB/sec):    20.604 

Average Latency:       0.00303166
Max latency:           1.06246
Min latency:           0.000992
