   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2969      2953   11.5322   11.5352  0.0024850.00540621
     2      16      7687      7671   14.9793   18.4297  0.0015040.00378606
     3      15     11110     11095    14.444    13.375  0.0024690.00432279
     4      15     16943     16928   16.5285   22.7852  0.0031890.00377784
     5      15     21144     21129   16.5044   16.4102  0.0023320.00378408
     6      15     27005     26990    17.569   22.8945  0.0033260.00355476
     7      15     32982     32967   18.3941   23.3477  0.001539 0.0033954
     8      15     38954     38939   19.0105   23.3281  0.0018050.00328531
     9      16     44749     44733   19.4126   22.6328  0.0013480.00321718
    10      16     50480     50464   19.7098   22.3867  0.0022170.00316872
    11      16     56265     56249    19.972   22.5977  0.0021990.00312719
    12      16     62290     62274   20.2687   23.5352  0.0018480.00308153
    13      16     68270     68254   20.5063   23.3594   0.002140.00304584
    14      15     74022     74007   20.6465   22.4727  0.0037540.00302509
    15      16     79958     79942   20.8155   23.1836  0.0026870.00300064
    16      15     85898     85883   20.9648    23.207  0.0013710.00297924
    17      16     91859     91843   21.1009   23.2812   0.002660.00296008
    18      16     97627     97611   21.1802   22.5312  0.0033670.00294896
    19      16    103515    103499   21.2758        23  0.0034020.00293573
2014-11-23 07:43:58.624348min lat: 0.000964 max lat: 0.450147 avg lat: 0.00292283
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    109447    109431   21.3705   23.1719  0.0028580.00292283
    21      16    115179    115163   21.4189   22.3906  0.0025260.00291594
    22      15    121126    121111   21.5013   23.2344  0.0024920.00290501
    23      15    126728    126713   21.5178   21.8828  0.002767 0.0029028
    24      16    132543    132527   21.5674   22.7109  0.0021550.00289611
    25      16    138252    138236   21.5966   22.3008  0.0037880.00289216
    26      16    143946    143930   21.6213   22.2422  0.0034490.00288886
    27      15    149569    149554   21.6341   21.9688  0.0025280.00288719
    28      15    155195    155180   21.6463   21.9766  0.0037760.00288553
    29      15    160844    160829   21.6607   22.0664  0.0027810.00288365
    30      16    166598    166582   21.6876   22.4727  0.002217 0.0028801
    31      15    172388    172373   21.7177   22.6211  0.0025230.00287612
    32      16    178051    178035   21.7301   22.1172  0.0027580.00287443
    33      15    183746    183731   21.7457     22.25  0.0030110.00287245
 Total time run:        33.307781
Total reads made:     185537
Read size:            4096
Bandwidth (MB/sec):    21.759 

Average Latency:       0.00287071
Max latency:           0.450147
Min latency:           0.000964
