 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_3935
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        27        11   43.9868        44  0.979136   0.67101
     2      16        33        17   33.9921        24  0.232012  0.537447
     3      16        33        17   22.6623         0         -  0.537447
     4      16        40        24    23.996        14  0.083824   0.83678
     5      16        40        24   19.1969         0         -   0.83678
     6      16        45        29   19.3303        10  0.146636   1.29161
     7      16        45        29   16.5689         0         -   1.29161
     8      16        45        29   14.4979         0         -   1.29161
     9      16        49        33   14.6646   5.33333   0.15637   1.83452
    10      16        49        33   13.1981         0         -   1.83452
    11      16        54        38   13.8163        10  0.087621    2.3635
    12      16        82        66    21.997       112  0.411056   2.82639
    13      16        94        78   23.9967        48  0.105158   2.47369
    14      16       105        89   25.4251        44  0.087563   2.24615
    15      16       108        92     24.53        12   3.25081   2.28055
    16      16       119       103   25.7465        44   0.12062   2.25467
    17      16       120       104   24.4672         4  0.083854    2.2338
    18      16       125       109   24.2189        20  0.149629   2.25671
    19      16       125       109   22.9443         0         -   2.25671
2014-11-23 11:23:37.889166min lat: 0.083824 max lat: 9.95708 avg lat: 2.30227
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       131       115   22.9969        12  0.101604   2.30227
    21      16       134       118   22.4731        12   5.98029   2.40567
    22      16       146       130   23.6332        48  0.115634   2.46327
    23      16       153       137   23.8229        28  0.095046   2.45454
    24      16       153       137   22.8303         0         -   2.45454
    25      16       160       144    23.037        14   0.08298   2.44664
    26      16       160       144   22.1509         0         -   2.44664
    27      16       168       152   22.5156        16  0.083833   2.43791
    28      16       168       152   21.7114         0         -   2.43791
    29      16       175       159   21.9282        14  0.086099    2.4728
    30      16       181       165   21.9971        24  0.084014   2.38596
    31      16       181       165   21.2876         0         -   2.38596
    32      16       186       170   21.2473        10   0.10715   2.48177
    33      16       186       170   20.6034         0         -   2.48177
    34      16       189       173   20.3503         6   11.2747   2.63433
    35      16       189       173   19.7689         0         -   2.63433
    36      16       189       173   19.2198         0         -   2.63433
    37      16       198       182   19.6732        12  0.087655   2.72071
    38      16       199       183   19.2607         4  0.084271   2.70631
    39      16       211       195   19.9975        48  0.108727   2.89698
2014-11-23 11:23:57.891527min lat: 0.08298 max lat: 14.1738 avg lat: 2.83371
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       240       224   22.3972       116  0.370017   2.83371
    41      16       263       247   24.0945        92  0.105069   2.60967
    42      16       284       268   25.5206        84  0.116913   2.45673
    43      16       289       273   25.3921        20  0.146067   2.43394
    44      16       300       284   25.8149        44  0.085168   2.39324
    45      16       301       285   25.3301         4  0.083765   2.38514
    46      16       304       288   25.0403        12   4.51321   2.40726
    47      16       307       291   24.7628        12  0.098353   2.38356
    48      16       307       291   24.2469         0         -   2.38356
    49      16       311       295   24.0786         8  0.151949    2.4199
    50      16       311       295    23.597         0         -    2.4199
    51      16       342       326   25.5654        62  0.408721   2.49325
    52      16       361       345    26.535        76  0.216879   2.37501
    53      15       366       351   26.4872        24   2.14754   2.35183
    54      16       369       353   26.1448         8   2.02746   2.35022
    55      16       369       353   25.6694         0         -   2.35022
    56      16       380       364   25.9967        22  0.103979   2.35417
    57      16       389       373   26.1721        36  0.084889   2.33745
    58      16       402       386   26.6173        52  0.084016   2.33908
    59      16       408       392   26.5729        24   0.09823   2.33195
2014-11-23 11:24:17.894145min lat: 0.08298 max lat: 14.1738 avg lat: 2.31227
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16       416       400   26.6633        32  0.083835   2.31227
    61      16       420       404   26.4884        16  0.119662   2.31871
    62      16       441       425   27.4158        84  0.108501   2.28681
    63      16       457       441   27.9964        64  0.147198   2.26142
    64      16       490       474   29.6212       132  0.144497   2.14581
    65      16       499       483   29.7193        36   1.53903   2.12111
    66      16       515       499   30.2385        64  0.097808    2.0806
    67      16       536       520   31.0408        84   1.55826   2.04874
    68      16       573       557   32.7605       148  0.590511   1.94484
    69      16       594       578    33.503        84  0.475451   1.89422
    70      16       616       600   34.2813        88  0.129659   1.84951
    71      16       616       600   33.7985         0         -   1.84951
    72      16       619       603   33.4957         6   2.68594   1.85413
    73      16       619       603   33.0369         0         -   1.85413
    74      16       633       617   33.3471        28   0.09139   1.88984
    75      16       649       633   33.7557        64  0.112914    1.8696
    76      16       664       648   34.1009        60   2.07117   1.85604
    77      16       685       669   34.7488        84  0.141398   1.82095
    78      16       689       673   34.5084        16  0.129338   1.81811
    79      16       689       673   34.0716         0         -   1.81811
2014-11-23 11:24:37.896611min lat: 0.08298 max lat: 14.1738 avg lat: 1.81679
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16       696       680   33.9957        14  0.088487   1.81679
    81      16       709       693   34.2179        52   0.08764   1.81999
    82      16       734       718   35.0199       100   1.45665   1.81192
    83      16       750       734    35.369        64  0.087738   1.78666
    84      16       764       748   35.6145        56  0.084221   1.77555
    85      16       764       748   35.1955         0         -   1.77555
    86      16       764       748   34.7863         0         -   1.77555
    87      16       771       755   34.7082   9.33333  0.084227   1.77544
    88      16       771       755   34.3138         0         -   1.77544
    89      16       783       767   34.4675        24   0.08386   1.79291
    90      16       791       775   34.4401        32  0.083191   1.81943
    91      16       812       796   34.9846        84   1.52115   1.82207
    92      16       840       824   35.8037       112  0.152011   1.77671
    93      16       842       826   35.5049         8  0.138524   1.77274
    94      16       858       842   35.8078        64    2.6731   1.76571
    95      16       865       849   35.7256        28  0.106652   1.75216
    96      16       865       849   35.3537         0         -   1.75216
    97      16       870       854   35.1954        10  0.116168   1.75814
    98      16       889       873   35.6115        76   3.74858   1.78179
    99      16       895       879   35.4943        24  0.133132   1.78047
2014-11-23 11:24:57.944869min lat: 0.08298 max lat: 14.1738 avg lat: 1.78251
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16       898       882   35.2594        12   2.04162   1.78251
