   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      2489      2473   19.3151   19.3203  0.0021280.00615932
     2      15      3671      3656   14.2783   9.24219  0.0041580.00874326
     3      16      9424      9408   24.4957   44.9375  0.0012540.00502825
     4      15     14289     14274   27.8744   38.0156  0.0020960.00448041
     5      16     17771     17755   27.7379   27.1953  0.0012930.00438723
     6      16     20157     20141   26.2214   18.6406  0.0020440.00476362
     7      15     24971     24956   27.8487   37.6172  0.0038890.00448506
     8      15     31053     31038   30.3063   47.5156  0.002157 0.0041217
     9      15     37399     37384    32.447   49.5781  0.0027650.00384975
    10      15     43515     43500   33.9798   47.7812  0.0022330.00367622
    11      16     50027     50011   35.5144   50.8672  0.0020090.00351729
    12      16     56384     56368    36.693   49.6641  0.0018220.00340418
    13      15     62546     62531   37.5738   48.1484  0.002686 0.0033244
    14      15     68788     68773   38.3728   48.7656  0.0023380.00325522
    15      16     75027     75011   39.0628   48.7344  0.001502 0.0031978
    16      16     81088     81072   39.5802   47.3516  0.0014190.00315596
    17      16     87270     87254   40.0926   48.2969  0.0017960.00311569
    18      15     93668     93653   40.6422   49.9922  0.0022430.00307353
    19      15    100211    100196   41.1932   51.1172  0.0030120.00303249
2014-11-25 22:33:39.891628min lat: 0.001021 max lat: 0.622464 avg lat: 0.0030068
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    106386    106370    41.545   48.2344  0.002175 0.0030068
    21      15    112466    112451   41.8285   47.5078  0.0020650.00298629
    22      15    118652    118637   42.1237   48.3281    0.00250.00296552
    23      15    124846    124831   42.3959   48.3906  0.0020410.00294649
    24      16    130988    130972   42.6282   47.9766  0.001388 0.0029302
    25      16    137243    137227   42.8775   48.8672  0.0043470.00291331
    26      16    144000    143984   43.2585   52.7891  0.0016270.00288771
    27      15    150117    150102   43.4264   47.7969  0.0021160.00287644
    28      15    156571    156556    43.676   50.4219  0.0017230.00286011
    29      15    162816    162801   43.8519   48.7891  0.0030660.00284862
 Total time run:        29.325651
Total reads made:     164857
Read size:            8192
Bandwidth (MB/sec):    43.919 

Average Latency:       0.00284437
Max latency:           0.622464
Min latency:           0.001021
