   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        40        24  0.187452    0.1875  0.001559 0.0041295
     2      16      2459      2443   9.54123   18.8984  0.0012060.00895633
     3      16      5494      5478   14.2632   23.7109  0.0012640.00859025
     4      16      7045      7029   13.7264   12.1172  0.001301 0.0090737
     5      16      9443      9427   14.7275   18.7344  0.001101 0.0084335
     6      16     14590     14574   18.9738   40.2109  0.0032090.00658446
     7      16     20906     20890   23.3115   49.3438  0.0024580.00535902
     8      15     27280     27265   26.6223   49.8047  0.001739 0.0046926
     9      15     33646     33631   29.1896   49.7344  0.0025860.00427944
    10      15     40053     40038   31.2753   50.0547   0.002020.00399434
    11      16     46403     46387   32.9408   49.6016  0.0019060.00379235
    12      15     52813     52798    34.369   50.0859  0.0024370.00363467
    13      15     59250     59235   35.5931   50.2891  0.0042090.00350972
    14      15     65661     65646   36.6279   50.0859  0.0018980.00341063
    15      15     72107     72092   37.5429   50.3594  0.0017790.00332755
    16      16     78852     78836    38.489   52.6875  0.0095470.00324527
    17      15     85420     85405   39.2434   51.3203  0.0019470.00318334
    18      16     91928     91912    39.887   50.8359  0.0020230.00313165
    19      15     98380     98365   40.4408   50.4141  0.0014650.00308892
2014-11-25 22:27:44.321436min lat: 0.000997 max lat: 1.01012 avg lat: 0.00305355
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16    104756    104740   40.9087   49.8047  0.0037480.00305355
    21      16    111349    111333    41.413   51.5078  0.0032820.00301631
    22      15    117982    117967   41.8861   51.8281  0.0023430.00298239
    23      15    124396    124381   42.2434   50.1094  0.0054640.00295702
    24      15    130688    130673   42.5312   49.1562  0.003187 0.0029371
    25      15    137241    137226   42.8775   51.1953  0.0018470.00291342
    26      15    143693    143678   43.1668   50.4062  0.0018530.00289394
    27      15    150414    150399   43.5125   52.5078   0.001670.00287088
    28      15    156909    156894   43.7705   50.7422  0.0019440.00285391
 Total time run:        28.443337
Total reads made:     159711
Read size:            8192
Bandwidth (MB/sec):    43.868 

Average Latency:       0.00284775
Max latency:           1.01012
Min latency:           0.000997
