   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       360       344   2.68668    2.6875  0.0010990.00180271
     2      16       360       344   1.34346         0         -0.00180271
     3      16       360       344  0.895681         0         -0.00180271
     4      16       360       344  0.671774         0         -0.00180271
     5      16       360       344  0.537421         0         -0.00180271
     6      16       360       344  0.447856         0         -0.00180271
     7      16      4478      4462   4.97928   5.36198  0.005176 0.0250945
     8      15     10562     10547   10.2985   47.5391  0.003157 0.0121324
     9      15     16787     16772   14.5572   48.6328  0.0020440.00858388
    10      16     23063     23047    18.003   49.0234  0.0017240.00694026
    11      15     29615     29600   21.0199   51.1953  0.0014080.00594396
    12      15     35741     35726    23.256   47.8594    0.00140.00536847
    13      16     35889     35873   21.5554   1.14844  0.0011520.00535179
    14      16     35894     35878   20.0186 0.0390625  0.0014720.00540663
    15      16     35894     35878   18.6841         0         -0.00540663
    16      16     38482     38466   18.7799   10.1094   0.002760.00665362
    17      15     44763     44748   20.5617   49.0781  0.0030570.00607678
    18      16     50343     50327   21.8406   43.5859   0.001460.00572107
    19      15     56659     56644   23.2882   49.3516   0.001820.00536538
2014-11-25 06:39:24.935461min lat: 0.001027 max lat: 6.34443 avg lat: 0.00505346
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     63321     63305   24.7254   52.0391  0.0030250.00505346
    21      15     69573     69558    25.874   48.8516  0.001516  0.004829
    22      15     75741     75726    26.888   48.1875  0.0033970.00464683
 Total time run:        22.650884
Total reads made:     79667
Read size:            8192
Bandwidth (MB/sec):    27.478 

Average Latency:       0.00454717
Max latency:           6.34443
Min latency:           0.000992
