   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      2586      2571   80.3221   80.3438   0.003220.00620465
     2      16      6028      6012    93.918   107.531  0.001535 0.0051108
     3      15      9462      9447   98.3887   107.344  0.0022580.00507353
     4      16     13013     12997   101.522   110.938  0.002921 0.0049178
     5      15     16563     16548   103.409   110.969  0.0069340.00483017
     6      16     20076     20060   104.463    109.75  0.0023590.00478175
     7      16     23629     23613     105.4   111.031  0.0030190.00473985
     8      16     27179     27163    106.09   110.938  0.0024050.00470905
     9      16     30724     30708    106.61   110.781  0.0019960.00468662
    10      16     34274     34258   107.041   110.938  0.0030240.00466798
    11      16     37801     37785   107.329   110.219  0.0042780.00465522
    12      16     41353     41337   107.634       111  0.0025160.00464228
    13      16     43731     43715    105.07   74.3125   0.001310.00463001
    14      16     43731     43715   97.5649         0         -0.00463001
    15      16     43731     43715   91.0607         0         -0.00463001
    16      16     43731     43715   85.3695         0         -0.00463001
    17      16     43731     43715   80.3479         0         -0.00463001
    18      16     43731     43715   75.8842         0         -0.00463001
    19      16     44256     44240   72.7538   2.73438  0.0014150.00658778
2014-11-25 07:02:25.548772min lat: 0.001287 max lat: 5.46211 avg lat: 0.00704062
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     44327     44311    69.227   2.21875   0.001430.00704062
    21      16     44327     44311   65.9305         0         -0.00704062
    22      16     44327     44311   62.9337         0         -0.00704062
    23      16     45890     45874   62.3209   16.2812   0.002150.00802043
    24      16     49369     49353   64.2536   108.719   0.00162 0.0077705
    25      15     52904     52889   66.1029     110.5  0.0023750.00756152
    26      16     56452     56436   67.8232   110.844  0.0026810.00736957
    27      16     60003     59987   69.4207   110.969  0.0077130.00720011
    28      16     62247     62231   69.4456    70.125  0.0028570.00719744
    29      15     65764     65749   70.8413   109.938  0.0079310.00705582
 Total time run:        29.953871
Total reads made:     69116
Read size:            32768
Bandwidth (MB/sec):    72.107 

Average Latency:       0.00693244
Max latency:           5.46211
Min latency:           0.001287
