   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        51        35   8.74774      8.75  0.431001  0.185882
     2      16        88        72    8.9982      9.25  0.054617  0.348169
     3      16       105        89   7.41537      4.25  0.891124  0.430779
     4      16       117       101   6.31154         3   1.00399  0.528711
     5      16       141       125   6.24912         6  0.581296  0.567252
     6      16       150       134   5.58257      2.25    1.1807  0.614728
     7      16       168       152   5.42787       4.5  0.372458  0.697831
     8      16       209       193   6.03051     10.25  0.962236  0.630001
     9      16       223       207   5.74929       3.5  0.132958  0.621398
    10      16       238       222   5.54934      3.75  0.030913  0.637843
    11      16       252       236   5.36301       3.5    0.0321  0.662745
    12      16       274       258   5.37438       5.5  0.041365   0.69396
    13      16       295       279   5.36477      5.25  0.023919  0.704589
    14      16       295       279   4.98159         0         -  0.704589
    15      16       319       303   5.04945         3   0.03638  0.730968
    16      16       327       311   4.85884         2  0.027581  0.759712
    17      16       392       376   5.52881     16.25  0.049159  0.710919
    18      16       453       437   6.06878     15.25  0.080791   0.64869
    19      16       501       485   6.38088        12  0.425123     0.614
2014-11-23 15:34:34.534472min lat: 0.010827 max lat: 3.83265 avg lat: 0.565868
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       578       562   7.02423     19.25  0.305415  0.565868
    21      16       685       669   7.96341     26.75  0.149499  0.499392
    22      16       798       782   8.88539     28.25  0.175847  0.447914
    23      16       911       895   9.72719     28.25  0.145406   0.40933
    24      16      1026      1010   10.5197     28.75  0.046878  0.378726
    25      16      1139      1123   11.2288     28.25  0.073183  0.354983
    26      16      1256      1240   11.9218     29.25  0.133387  0.334252
    27      16      1366      1350   12.4986      27.5  0.053054  0.319148
    28      16      1497      1481   13.2218     32.75  0.083375  0.301528
    29      16      1631      1615   13.9209      33.5  0.102354  0.286564
    30      16      1764      1748   14.5651     33.25  0.046421  0.274018
    31      16      1893      1877   15.1354     32.25  0.080947  0.263651
    32      16      2024      2008   15.6858     32.75  0.073539  0.254301
    33      15      2153      2138   16.1952      32.5  0.071972   0.24644
    34      16      2265      2249   16.5349     27.75  0.205131  0.241272
    35      16      2383      2367   16.9053      29.5  0.119713  0.236124
    36      16      2488      2472   17.1648     26.25  0.139147  0.232304
    37      16      2611      2595   17.5318     30.75  0.287223   0.22768
    38      16      2733      2717    17.873      30.5  0.120227  0.223351
    39      16      2850      2834   18.1647     29.25  0.279336  0.219763
2014-11-23 15:34:54.536695min lat: 0.010827 max lat: 3.83265 avg lat: 0.215913
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2975      2959   18.4917     31.25  0.127173  0.215913
    41      16      3092      3076    18.754     29.25  0.112971  0.212838
    42      16      3205      3189   18.9801     28.25  0.110779  0.210289
    43      16      3305      3289     19.12        25   0.38547  0.208591
    44      16      3412      3396   19.2933     26.75  0.180031  0.206769
    45      16      3506      3490   19.3868      23.5   0.06443  0.205877
    46      16      3626      3610   19.6174        30  0.094039  0.203552
    47      16      3725      3709   19.7266     24.75  0.136873  0.202107
    48      16      3842      3826   19.9249     29.25  0.231778  0.200448
    49      16      3944      3928   20.0386      25.5  0.165479  0.198891
    50      16      4048      4032   20.1578        26  0.463765  0.197919
    51      16      4152      4136   20.2723        26  0.113991  0.197011
    52      16      4265      4249   20.4256     28.25  0.277893  0.195502
    53      16      4366      4350   20.5166     25.25  0.519832  0.194445
    54      16      4472      4456   20.6273      26.5  0.074524  0.193719
    55      16      4577      4561   20.7295     26.25  0.357276  0.192584
    56      16      4680      4664   20.8191     25.75  0.264195  0.191707
    57      16      4782      4766   20.9012      25.5  0.297883  0.190968
    58      16      4887      4871   20.9934     26.25  0.127056  0.190189
    59      16      5020      5004    21.201     33.25  0.194134  0.188009
2014-11-23 15:35:14.538890min lat: 0.004181 max lat: 3.83265 avg lat: 0.187298
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      5134      5118   21.3227      28.5  0.289116  0.187298
    61      16      5178      5162   21.1534        11  0.004891  0.187745
    62      16      5277      5261   21.2114     24.75  0.553398  0.188067
    63      16      5401      5385   21.3667        31  0.221682  0.186749
    64      16      5521      5505   21.5015        30  0.125693  0.185641
    65      16      5631      5615   21.5938      27.5  0.310914  0.184906
    66      16      5766      5750   21.7779     33.75  0.004316  0.183233
    67      16      5853      5837   21.7775     21.75  0.004288  0.183308
    68      16      5959      5943   21.8469      26.5  0.331962  0.182714
    69      16      6093      6077   22.0157      33.5  0.151047   0.18136
    70      16      6228      6212   22.1833     33.75  0.271474  0.180021
    71      16      6338      6322   22.2581      27.5  0.334795  0.179431
    72      16      6452      6436   22.3448      28.5  0.004704  0.178607
    73      16      6568      6552   22.4359        29  0.032948  0.177813
    74      16      6666      6650   22.4637      24.5  0.228802  0.177695
    75      16      6756      6740   22.4642      22.5  0.261851  0.177678
    76      16      7017      7001   23.0271     65.25  0.008688  0.173607
    77      16      7254      7238   23.4974     59.25  0.004572  0.169946
    78      15      7490      7475   23.9557     59.25  0.007641  0.166869
    79      16      7843      7827   24.7663        88  0.011208   0.16139
2014-11-23 15:35:34.541088min lat: 0.004056 max lat: 3.83265 avg lat: 0.160113
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      7984      7968   24.8973     35.25  0.004411  0.160113
    81      16      8107      8091   24.9695     30.75  0.171645  0.159962
    82      16      8290      8274   25.2228     45.75  0.005397  0.158447
    83      16      8462      8446   25.4369        43  0.065121  0.157127
    84      16      8707      8691   25.8632     61.25  0.006886  0.154581
    85      16      9055      9039   26.5824        87  0.075783  0.150405
    86      16      9248      9232   26.8342     48.25  0.113742  0.148965
    87      16      9418      9402   27.0142      42.5  0.201634  0.147885
    88      16      9552      9536   27.0879      33.5  0.004415  0.147334
    89      16      9609      9593   26.9436     14.25  0.243146  0.147986
    90      16      9792      9776   27.1525     45.75   0.29151  0.147151
    91      16      9911      9895    27.181     29.75  0.130865  0.146922
    92      16     10030     10014   27.2089     29.75  0.149257  0.146784
    93      16     10161     10145   27.2685     32.75  0.146501  0.146443
    94      16     10302     10286   27.3533     35.25  0.006465  0.146001
    95      16     10392     10376   27.3022      22.5  0.005685  0.145934
    96      16     10516     10500   27.3407        31  0.236495  0.146166
    97      16     10664     10648   27.4402        37  0.143035  0.145566
    98      16     10785     10769   27.4689     30.25  0.007931  0.145347
    99      16     10953     10937   27.6156        42  0.016018  0.144781
2014-11-23 15:35:54.543467min lat: 0.004056 max lat: 3.83265 avg lat: 0.143904
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     11124     11108   27.7669     42.75  0.004562  0.143904
   101      16     11388     11372   28.1454        66  0.010065  0.142067
   102      16     11612     11596   28.4184        56  0.004328  0.140619
   103      16     11811     11795   28.6254     49.75  0.113107  0.139635
   104      16     12003     11987   28.8117        48  0.224472  0.138728
   105      16     12170     12154   28.9348     41.75  0.151869  0.138089
   106      16     12331     12315   29.0415     40.25  0.006615  0.137575
   107      16     12543     12527   29.2654        53  0.126491  0.136639
   108      16     12977     12961   29.9989     108.5  0.052368  0.133302
   109      16     13422     13406   30.7442    111.25  0.048756  0.130075
   110      16     13869     13853   31.4805    111.75  0.010204   0.12703
   111      16     14305     14289   32.1788       109  0.048986  0.124278
   112      16     14733     14717   32.8467       107  0.023271  0.121725
   113      16     15163     15147   33.5073     107.5  0.050981  0.119354
   114      16     15572     15556   34.1102    102.25  0.083187  0.117219
   115      16     16015     15999   34.7765    110.75  0.005509  0.114988
   116      16     16461     16445   35.4378     111.5  0.080521  0.112834
   117      16     16898     16882   36.0686    109.25  0.005148  0.110867
   118      16     17342     17326   36.7035       111  0.004928  0.108958
   119      16     17786     17770   37.3277       111  0.053998  0.107134
2014-11-23 15:36:14.545890min lat: 0.004056 max lat: 3.83265 avg lat: 0.105424
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
