   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1796      1780   111.222    111.25  0.0145370.00892657
     2      16      3560      3544   110.728    110.25  0.002635 0.0089992
     3      16      5345      5329   111.001   111.562  0.0026470.00898381
     4      16      6467      6451   100.781    70.125  0.0026330.00990192
     5      16      8236      8220   102.734   110.562  0.0044750.00971887
     6      16     10019     10003   104.183   111.438  0.0050810.00958414
     7      16     11804     11788   105.235   111.562  0.0035890.00949071
     8      16     13578     13562   105.938   110.875  0.0247610.00942893
     9      16     15359     15343   106.534   111.312  0.0032520.00937756
    10      16     17140     17124    107.01   111.312  0.0044380.00933615
    11      16     18917     18901   107.377   111.062  0.0200050.00930423
    12      15     20697     20682   107.704   111.312  0.0034930.00927623
    13      16     22478     22462   107.976    111.25  0.0034410.00925464
    14      16     24258     24242   108.209    111.25  0.0040160.00923401
    15      16     26038     26022   108.411    111.25  0.0032280.00921712
    16      16     27819     27803   108.591   111.312  0.0239310.00920219
    17      16     29599     29583   108.747    111.25  0.0038790.00919028
    18      16     31380     31364   108.889   111.312  0.0046420.00917813
    19      16     33162     33146   109.019   111.375  0.0049520.00916789
2014-11-25 09:43:20.316931min lat: 0.001898 max lat: 0.417095 avg lat: 0.00915874
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     34939     34923    109.12   111.062  0.0053830.00915874
    21      16     36719     36703   109.221    111.25   0.003010.00915133
    22      16     38498     38482    109.31   111.188    0.0165 0.0091438
    23      16     40276     40260   109.388   111.125  0.0027730.00913696
    24      16     42058     42042    109.47   111.375  0.0031210.00913099
 Total time run:        24.623540
Total reads made:     43146
Read size:            65536
Bandwidth (MB/sec):    109.514 

Average Latency:       0.0091294
Max latency:           0.417095
Min latency:           0.001898
