   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      5234      5219   40.7622   40.7734  0.0020380.00305495
     2      15     11748     11733    45.822   50.8906   0.00269 0.0027211
     3      15     17986     17971   46.7908   48.7344  0.0018870.00266705
     4      15     24137     24122   47.1053   48.0547  0.0027660.00264934
     5      16     30469     30453   47.5752   49.4609  0.0020910.00262406
     6      15     36788     36773   47.8742    49.375   0.003790.00260766
     7      15     42544     42529   47.4584   44.9688  0.0029060.00263093
     8      15     48817     48802   47.6513   49.0078  0.001831 0.0026204
     9      16     55137     55121   47.8413   49.3672  0.0020380.00261002
    10      15     61287     61272    47.862   48.0547  0.0016110.00260909
    11      15     67645     67630   48.0259   49.6719  0.0047810.00260013
    12      15     73766     73751   48.0083   47.8203  0.0017030.00260128
    13      15     80211     80196   48.1881   50.3516  0.0020660.00259162
    14      16     86224     86208   48.0985   46.9688  0.0012860.00259659
    15      16     92364     92348    48.089   47.9688  0.0018790.00259705
 Total time run:        15.241225
Total reads made:     93835
Read size:            8192
Bandwidth (MB/sec):    48.099 

Average Latency:       0.00259679
Max latency:           0.101362
Min latency:           0.001028
