   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        22         6 0.0468624  0.046875  0.0010910.00199333
     2      15      5550      5535   21.6166   43.1953   0.002210.00577581
     3      16     10909     10893   28.3619   41.8594  0.0014370.00440239
     4      16     14339     14323   27.9698   26.7969  0.0015840.00403912
     5      16     14339     14323   22.3761         0         -0.00403912
     6      16     14339     14323   18.6468         0         -0.00403912
     7      16     14339     14323   15.9831         0         -0.00403912
     8      16     14339     14323   13.9853         0         -0.00403912
     9      16     16188     16172   14.0362   2.88906  0.0026390.00890214
    10      15     22430     22415   17.5093   48.7734  0.0022080.00713531
    11      15     28790     28775    20.434   49.6875  0.0018760.00611458
    12      16     35364     35348   23.0099   51.3516  0.001971 0.0054298
    13      15     41550     41535   24.9576   48.3359  0.0014890.00500587
    14      15     47240     47225   26.3497   44.4531  0.0023810.00474153
    15      15     53461     53446   27.8327   48.6016  0.0037560.00448886
    16      15     60000     59985   29.2857   51.0859  0.0023560.00426604
    17      16     66278     66262   30.4471   49.0391   0.002880.00410333
 Total time run:        17.836276
Total reads made:     71380
Read size:            8192
Bandwidth (MB/sec):    31.265 

Average Latency:       0.00399611
Max latency:           5.16183
Min latency:           0.001007
