   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        61        45  0.175734  0.175781  0.001095 0.0554398
     2      15      5293      5278   10.3066   20.4414  0.0046330.00605062
     3      16      7785      7769    10.114   9.73047  0.0016980.00617268
     4      16     13808     13792   13.4665   23.5273  0.0027340.00463643
     5      16     19769     19753   15.4296   23.2852  0.0032440.00404682
     6      15     26888     26873   17.4928   27.8125  0.0013820.00356989
     7      16     33649     33633   18.7656   26.4062  0.0026690.00332768
     8      15     40613     40598   19.8204    27.207  0.0021070.00315087
     9      15     46928     46913   20.3586    24.668  0.0019620.00306756
    10      15     53433     53418   20.8635   25.4102  0.0052660.00299316
    11      15     59976     59961     21.29   25.5586  0.0024630.00293336
    12      16     66513     66497   21.6432   25.5312  0.0017780.00288555
    13      15     72659     72644   21.8251   24.0117  0.0014010.00286154
    14      15     78831     78816   21.9881   24.1094  0.0014750.00284038
    15      15     85911     85896   22.3657   27.6562  0.0015960.00279231
    16      15     92972     92957   22.6915    27.582  0.0015010.00275227
    17      15     99755     99740   22.9151   26.4961  0.0028970.00272526
    18      15    106479    106464   23.1011   26.2656  0.0011760.00270349
    19      15    113131    113116   23.2527   25.9844  0.0017680.00268588
2014-11-25 19:25:12.936552min lat: 0.000971 max lat: 1.05801 avg lat: 0.00266315
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15    120097    120082   23.4504   27.2109    0.00270.00266315
    21      15    126281    126266   23.4838   24.1562  0.0019380.00265943
    22      16    132900    132884   23.5913   25.8516  0.0050450.00264721
    23      16    138877    138861   23.5806   23.3477  0.0025380.00264852
 Total time run:        23.803104
Total reads made:     144442
Read size:            4096
Bandwidth (MB/sec):    23.704 

Average Latency:       0.00263488
Max latency:           1.05801
Min latency:           0.000971
