   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5557      5541   21.6385   21.6445  0.0029710.00287604
     2      16     11482     11466   22.3897   23.1445   0.001810.00278535
     3      16     18016     18000   23.4331   25.5234  0.0013640.00266179
     4      16     23811     23795   23.2334   22.6367  0.0012310.00268597
     5      16     29937     29921    23.372   23.9297  0.0021320.00267078
     6      16     36520     36504    23.762   25.7148  0.0019130.00262709
     7      16     43087     43071   24.0315   25.6523  0.0016630.00259777
     8      15     49871     49856   24.3402   26.5039  0.0022470.00256507
     9      15     56644     56629    24.575    26.457  0.0017730.00254059
    10      15     63832     63817    24.925   28.0781  0.0014960.00250484
    11      15     71009     70994   25.2074   28.0352  0.0017590.00247699
    12      15     77564     77549   25.2402   25.6055  0.0017460.00247378
    13      16     84153     84137   25.2779   25.7344  0.0022910.00247022
    14      15     90441     90426   25.2268   24.5664  0.0013680.00247529
    15      15     96279     96264   25.0652   22.8047  0.0080170.00249104
    16      15    103250    103235   25.2003   27.2305  0.0021520.00247799
    17      16    109583    109567   25.1727   24.7344  0.0023180.00248062
    18      16    114890    114874   24.9258   20.7305  0.002478 0.0025053
 Total time run:        18.016313
Total reads made:     114965
Read size:            4096
Bandwidth (MB/sec):    24.926 

Average Latency:       0.00250526
Max latency:           0.256176
Min latency:           0.00099
