pgs, num_osd, size, repetition, throughput_avg, throughput_std
128,1,write,1,21.565 ,8.30462
128,1,write,2,20.384 ,7.56795
128,1,write,3,20.266 ,7.78729
128,2,write,1,40.095 ,12.4881
128,2,write,2,39.257 ,15.3223
128,2,write,3,40.382 ,13.891
128,3,write,1,55.205 ,16.544
128,3,write,2,54.888 ,17.0427
128,3,write,3,55.532 ,12.9657
128,4,write,1,70.499 ,18.5157
128,4,write,2,66.519 ,16.7671
128,4,write,3,69.474 ,18.0884
