   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        71        55   109.955       110  0.360122  0.224847
     2      16       126       110   109.968       110  0.041618   0.25302
     3      16       179       163    108.64       106  0.026249  0.254323
     4      16       215       199   99.4783        72  0.169832  0.284905
     5      16       261       245   97.9802        92  0.111615  0.307362
     6      16       312       296   98.6478       102  0.025807  0.280366
     7      16       322       306   87.4125        20  0.054031  0.315431
     8      16       375       359   89.7339       106  0.053981  0.325487
     9      16       430       414   91.9838       110  0.336906  0.341035
    10      16       478       462    92.384        96   1.09813  0.331326
    11      16       532       516    93.802       108   0.06282  0.333607
    12      16       589       573   95.4838       114  0.087445  0.328622
    13      16       645       629    96.753       112  0.647602  0.324353
    14      16       701       685   97.8409       112  0.210469  0.322441
    15      16       757       741   98.7837       112  0.073737  0.318388
    16      16       813       797   99.6087       112  0.645994  0.315889
    17      16       869       853   100.337       112  0.740152  0.314222
    18      16       926       910   101.095       114  0.045505  0.312637
    19      16       952       936   98.5106        52  0.026955  0.308229
2014-11-25 08:26:01.640185min lat: 0.025807 max lat: 3.01751 avg lat: 0.308229
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       952       936   93.5853         0         -  0.308229
    21      16       952       936   89.1289         0         -  0.308229
    22      16       952       936   85.0777         0         -  0.308229
    23      16       952       936   81.3789         0         -  0.308229
    24      16       952       936   77.9883         0         -  0.308229
    25      16       986       970   77.5884   11.3333  0.195887  0.369199
    26      16      1041      1025   78.8344       110  0.040134  0.361562
    27      16      1064      1048   77.6181        46  0.026474  0.354277
    28      16      1064      1048   74.8461         0         -  0.354277
    29      16      1064      1048   72.2653         0         -  0.354277
    30      16      1064      1048   69.8566         0         -  0.354277
    31      16      1064      1048   67.6033         0         -  0.354277
    32      16      1081      1065   66.5531       6.8  0.105344  0.431847
    33      16      1136      1120   67.8692       110  0.232072  0.468448
    34      16      1193      1177   69.2256       114    0.3753  0.459475
    35      16      1249      1233   70.4472       112   0.04499   0.45138
    36      16      1305      1289   71.6011       112  0.523737  0.444221
    37      16      1339      1323   71.5035        68  0.026108  0.437196
    38      16      1362      1346   70.8322        46  0.026376  0.438096
    39      16      1389      1373   70.4004        54  0.026399  0.440746
2014-11-25 08:26:21.642607min lat: 0.025807 max lat: 13.6057 avg lat: 0.4448
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1405      1389   69.4403        32  0.026361    0.4448
    41      16      1430      1414    68.966        50   2.54001  0.450713
    42      16      1454      1438   68.4667        48    0.0267  0.451917
    43      16      1470      1454   67.6185        32  0.026267   0.45636
    44      16      1492      1476   67.0816        44  0.026583  0.463533
    45      16      1511      1495   66.4353        38  0.026226  0.465033
    46      16      1534      1518    65.991        46   0.03516  0.469613
    47      16      1543      1527   64.9699        18   1.16319  0.473719
    48      16      1560      1544   64.3247        34  0.026253  0.476607
    49      16      1589      1573   64.1954        58  0.026041  0.482138
    50      16      1609      1593   63.7114        40   2.25367  0.488842
    51      16      1644      1628   63.8345        70   0.02951   0.49181
    52      16      1664      1648   63.3761        40  0.026167   0.49497
    53      16      1699      1683   63.5009        70  0.176212   0.49613
    54      16      1754      1738   64.3618       110  0.378667  0.495597
    55      16      1810      1794   65.2277       112  0.280623   0.48909
    56      16      1866      1850   66.0626       112  0.546146  0.482325
    57      16      1921      1905   66.8332       110  0.855969  0.475967
    58      16      1979      1963   67.6806       116  0.331609  0.471042
    59      16      2034      2018   68.3977       110  0.077863  0.465788
2014-11-25 08:26:41.645130min lat: 0.025807 max lat: 13.6057 avg lat: 0.460148
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      2090      2074    69.124       112  0.143443  0.460148
    61      16      2146      2130   69.8266       112  0.032192  0.455597
    62      16      2203      2187   70.5388       114  0.081877   0.45158
    63      16      2258      2242   71.1649       110  0.149615  0.447177
    64      16      2314      2298   71.8027       112  0.168708  0.443793
    65      16      2370      2354   72.4209       112  0.586586  0.440282
    66      16      2425      2409     72.99       110  0.065689  0.436168
    67      16      2481      2465   73.5721       112  0.064116  0.432413
    68      16      2537      2521    74.137       112  0.183114  0.430323
    69      16      2595      2579   74.7434       116  0.480615  0.426883
