   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      3250      3235   12.6335   12.6367  0.0013280.00492164
     2      15      9309      9294   18.1486    23.668  0.0038690.00343829
     3      16     15362     15346   19.9783   23.6406  0.0024550.00307322
     4      16     15419     15403   15.0396  0.222656  0.0017220.00306781
     5      16     15419     15403   12.0318         0         -0.00306781
     6      16     15419     15403   10.0266         0         -0.00306781
     7      16     15419     15403   8.59428         0         -0.00306781
     8      16     15419     15403   7.52004         0         -0.00306781
     9      16     15659     15643   6.78867    0.1875  0.0010990.00856968
    10      15     16239     16224   6.33673   2.26953  0.0016480.00985939
    11      15     22326     22311   7.92199   23.7773  0.0016380.00788634
    12      16     28362     28346   9.22605   23.5742  0.0024560.00677134
    13      16     34559     34543   10.3782    24.207  0.0041470.00601949
    14      15     40729     40714   11.3585   24.1055  0.0079330.00549963
    15      16     47181     47165    12.281   25.1992  0.0013530.00508669
    16      16     53681     53665   13.1002   25.3906  0.001677 0.0047686
    17      16     60199     60183   13.8271   25.4609   0.001370.00451792
    18      15     66782     66767   14.4876   25.7188  0.0025830.00431183
    19      15     73314     73299   15.0678   25.5156  0.0016660.00414576
2014-11-25 13:43:34.932141min lat: 0.00095 max lat: 5.51555 avg lat: 0.00400494
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15     79885     79870   15.5977    25.668  0.0017640.00400494
    21      15     86747     86732   16.1312   26.8047  0.004778 0.0038724
    22      16     93634     93618   16.6204   26.8984  0.0014150.00375837
    23      15    100346    100331   17.0377   26.2227  0.0023930.00366633
    24      15    106634    106619   17.3511   24.5625   0.00265    0.0036
    25      15    113205    113190   17.6837    25.668  0.0011690.00353236
    26      15    119726    119711   17.9831   25.4727  0.0015980.00347354
    27      16    126550    126534   18.3041   26.6523  0.0031150.00341259
    28      15    133107    133092   18.5652   25.6172  0.0028060.00336459
    29      15    139900    139885   18.8399   26.5352  0.0013840.00331554
    30      16    146774    146758   19.1067   26.8477  0.0031080.00326918
    31      15    153244    153229   19.3056   25.2773   0.003480.00323548
 Total time run:        31.520921
Total reads made:     156760
Read size:            4096
Bandwidth (MB/sec):    19.427 

Average Latency:       0.00321542
Max latency:           5.51555
Min latency:           0.000938
