 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_28587
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        28        12   47.9871        48  0.984409  0.789187
     2      16        41        25   49.9891        52   1.99179  0.850984
     3      16        62        46   61.3199        84  0.365798  0.852531
     4      16        82        66   65.9871        80  0.266367  0.828066
     5      16        98        82   65.5881        64  0.309386  0.767685
     6      16       100        84   55.9905         8  0.314469  0.758522
     7      16       119       103   58.8479        76  0.586435  0.994215
     8      16       139       123   61.4908        80   1.68405  0.948565
     9      16       156       140   62.2131        68  0.427656   0.92893
    10      16       172       156   62.3909        64   2.21588  0.926219
    11      16       188       172   62.5364        64  0.686274  0.931476
    12      16       204       188   62.6577        64  0.297128  0.923944
    13      16       221       205    63.068        68  0.398231  0.903936
    14      16       240       224    63.991        76  0.463194   0.91646
    15      16       259       243   64.7909        76  0.637145  0.912055
    16      16       275       259    64.741        64  0.365523  0.954095
    17      16       294       278   65.4027        76  0.494222  0.940513
    18      16       311       295   65.5465        68  0.301232  0.934897
    19      16       321       305   64.2017        40      1.02  0.954682
2014-11-25 21:51:06.655325min lat: 0.203244 max lat: 4.35527 avg lat: 0.949256
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       341       325   64.9911        80  0.317728  0.949256
    21      16       344       328   62.4676        12   1.53069  0.947617
    22      16       344       328   59.6282         0         -  0.947617
    23      16       344       328   57.0358         0         -  0.947617
    24      16       366       350   58.3255   29.3333  0.422156   1.08112
    25      16       384       368   58.8721        72  0.803324    1.0625
    26      16       401       385   59.2228        68    0.8182   1.05292
    27      15       416       401   59.3994        64  0.946182   1.04805
    28      16       427       411   58.7064        40   1.87922   1.05114
    29      16       435       419   57.7854        32  0.209355   1.05411
    30      16       445       429   57.1924        40  0.570753   1.06475
    31      16       452       436   56.2506        28   1.62016    1.0838
    32      16       458       442   55.2428        24   4.38342   1.09198
    33      16       466       450   54.5384        32   2.57409   1.09793
