   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   102      16      2117      2101   82.3773       104  0.570671  0.772474
   103      16      2135      2119   82.2765        72   1.10382  0.773477
   104      16      2162      2146   82.5237       108  0.183713  0.772706
   105      16      2183      2167   82.5376        84  0.506807  0.770866
   106      16      2206      2190   82.6268        92  0.230776  0.770254
   107      16      2234      2218   82.9011       112  0.112302  0.767736
   108      16      2254      2238   82.8742        80  0.302274  0.767314
   109      16      2282      2266   83.1412       112   1.04221  0.767189
   110      16      2303      2287   83.1489        84    1.4176  0.764522
   111      16      2331      2315   83.4087       112   1.75298  0.762273
   112      16      2356      2340   83.5567       100  0.255827  0.762107
   113      16      2376      2360   83.5251        80   3.07509  0.759301
   114      16      2394      2378    83.424        72   1.99669  0.760895
   115      16      2421      2405   83.6375       108   1.45459  0.759377
   116      16      2436      2420   83.4337        60  0.131287  0.757141
   117      16      2457      2441   83.4384        84  0.132793  0.757254
   118      16      2476      2460   83.3753        76  0.091972  0.759271
   119      16      2493      2477    83.246        68   1.44128  0.760923
2014-11-25 22:07:31.721192min lat: 0.050984 max lat: 8.46891 avg lat: 0.759679
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      2508      2492   83.0523        60  0.114334  0.759679
   121      16      2526      2510   82.9608        72  0.160307  0.760191
   122      16      2546      2530   82.9365        80    5.2064  0.762146
   123      16      2565      2549     82.88        76   0.55747   0.75913
   124      16      2588      2572   82.9534        92  0.202361  0.761589
   125      16      2612      2596   83.0577        96   5.50379  0.763718
   126      16      2638      2622   83.2238       104   0.23433  0.760967
   127      16      2661      2645   83.2928        92   0.24142  0.760499
   128      16      2678      2662   83.1732        68  0.325749  0.761016
   129      16      2698      2682   83.1486        80  0.146163  0.759338
   130      16      2711      2695   82.9089        52  0.763105  0.761525
   131      16      2731      2715   82.8866        80  0.630219  0.762843
   132      16      2758      2742   83.0768       108  0.588027   0.76365
   133      16      2786      2770   83.2941       112  0.632639  0.764256
   134      16      2805      2789   83.2396        76   1.23003  0.765175
   135      16      2831      2815   83.3932       104  0.266476  0.764008
   136      16      2855      2839   83.4858        96   1.71719  0.762429
   137      16      2875      2859   83.4603        80   1.64317  0.761592
   138      16      2892      2876   83.3482        68  0.143003  0.762211
   139      16      2919      2903   83.5254       108   1.38593  0.763371
2014-11-25 22:07:51.724030min lat: 0.050984 max lat: 8.46891 avg lat: 0.760866
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      2944      2928    83.643       100  0.052756  0.760866
   141      16      2969      2953   83.7589       100  0.193192  0.759446
   142      16      2990      2974   83.7605        84   1.68426  0.758682
   143      16      3012      2996   83.7901        88   1.55654  0.758518
   144      16      3025      3009   83.5693        52  0.131155  0.760491
   145      16      3044      3028    83.517        76   2.40901  0.759981
   146      16      3067      3051    83.575        92  0.646607  0.760092
   147      16      3090      3074   83.6322        92  0.291312  0.760394
   148      16      3114      3098   83.7157        96  0.311844  0.760822
   149      16      3136      3120   83.7443        88  0.811204  0.758344
   150      16      3160      3144   83.8259        96     1.932  0.759644
   151      16      3183      3167   83.8799        92  0.183159  0.758873
   152      16      3202      3186    83.828        76  0.082169  0.757858
   153      16      3222      3206   83.8029        80  0.154194  0.757322
   154      16      3241      3225   83.7522        76  0.448729  0.757507
   155      16      3266      3250   83.8569       100    2.1847  0.759007
   156      16      3292      3276   83.9859       104  0.095424  0.755923
   157      16      3314      3298   84.0114        88  0.220896  0.756196
   158      16      3339      3323   84.1125       100  0.166877  0.755895
   159      16      3362      3346    84.162        92  0.104641  0.754712
