   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      3380      3364   105.097   105.125  0.0050940.00474247
     2      15      6906      6891    107.65   110.219  0.0027440.00463473
     3      16     10421     10405   108.366   109.812   0.002890.00460725
     4      16     13961     13945   108.928   110.625  0.0067720.00458505
     5      16     17485     17469   109.165   110.125  0.0069160.00457519
     6      16     21021     21005   109.385     110.5  0.0028380.00456708
 Total time run:        6.241356
Total reads made:     21858
Read size:            32768
Bandwidth (MB/sec):    109.441 

Average Latency:       0.00456641
Max latency:           0.027952
Min latency:           0.001487
