   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      6984      6969   27.2142   27.2227  0.0030430.00228954
     2      15     13798     13783   26.9135   26.6172  0.0026280.00231899
     3      16     20624     20608   26.8272   26.6602  0.001654 0.0023269
     4      15     27388     27373   26.7253   26.4258  0.0021420.00233591
     5      15     34204     34189   26.7041    26.625  0.0018550.00233809
     6      15     41008     40993   26.6825   26.5781   0.001860.00234011
 Total time run:        6.465762
Total reads made:     42408
Read size:            4096
Bandwidth (MB/sec):    25.621 

Average Latency:       0.00243758
Max latency:           0.280147
Min latency:           0.000972
