   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1116      1100   68.7341     68.75  0.002638 0.0144424
     2      16      1555      1539   48.0843   27.4375  0.003609 0.0207112
     3      16      3108      3092   64.4057   97.0625  0.001963 0.0148897
     4      16      4704      4688   73.2386     99.75  0.003012 0.0136276
     5      16      6477      6461   80.7504   110.812   0.00278 0.0123585
     6      16      8203      8187   85.2688   107.875  0.006781  0.011716
     7      16      9989      9973   89.0321   111.625  0.003448   0.01122
     8      16     11762     11746   91.7529   110.812   0.00569   0.01089
     9      16     13495     13479   93.5912   108.312  0.013388  0.010676
    10      15     15267     15252    95.312   110.812  0.004036 0.0104809
    11      16     17035     17019   96.6858   110.438  0.003061 0.0103348
    12      16     18769     18753   97.6588   108.375  0.002899 0.0102315
    13      16     19294     19278   92.6704   32.8125  0.002004 0.0101915
    14      16     19518     19502   87.0511        14  0.016868 0.0114804
    15      16     21268     21252   88.5386   109.375  0.002861 0.0112878
    16      16     23030     23014   89.8869   110.125  0.007573 0.0111197
    17      16     24802     24786   91.1134    110.75   0.00372 0.0109689
    18      15     26588     26573   92.2556   111.688   0.00276 0.0108336
    19      16     28374     28358   93.2711   111.562  0.002947 0.0107162
2014-11-23 14:25:23.635376min lat: 0.001689 max lat: 1.61032 avg lat: 0.0106117
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     30158     30142   94.1819     111.5  0.017339 0.0106117
    21      16     31939     31923   94.9969   111.312  0.002842 0.0105218
    22      16     33725     33709   95.7521   111.625  0.002805 0.0104386
    23      16     35424     35408   96.2052   106.188   0.01786 0.0103897
    24      16     37210     37194   96.8472   111.625  0.012727 0.0103215
 Total time run:        24.707668
Total reads made:     38449
Read size:            65536
Bandwidth (MB/sec):    97.260 

Average Latency:       0.0102797
Max latency:           1.61032
Min latency:           0.001689
