   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      4754      4738   74.0111   74.0312  0.0036670.00336889
     2      15      9875      9860   77.0147   80.0312  0.0030940.00324038
     3      15     14199     14184   73.8614   67.5625  0.1897290.00336088
     4      15     19257     19242   75.1514   79.0312  0.0026660.00332288
     5      15     24337     24322   75.9939    79.375  0.0013060.00328536
 Total time run:        5.607438
Total reads made:     27632
Read size:            16384
Bandwidth (MB/sec):    76.996 

Average Latency:       0.00324463
Max latency:           0.219843
Min latency:           0.001055
